Frequency (Hz)	Level (dB)
86.132813	-46.374271
172.265625	-48.712334
258.398438	-55.811039
344.531250	-58.625244
430.664063	-61.117523
516.796875	-59.853363
602.929688	-60.236370
689.062500	-61.633739
775.195313	-62.862186
861.328125	-64.021172
947.460938	-65.882133
1033.593750	-67.972954
1119.726563	-58.743256
1205.859375	-52.136978
1291.992188	-52.095673
1378.125000	-56.625519
1464.257813	-59.589314
1550.390625	-62.876190
1636.523438	-64.894714
1722.656250	-65.390228
1808.789063	-63.389004
1894.921875	-55.488945
1981.054688	-52.265522
2067.187500	-56.481621
2153.320313	-60.239738
2239.453125	-60.658848
2325.585938	-62.876617
2411.718750	-65.228119
2497.851563	-68.293457
2583.984375	-72.029221
2670.117188	-75.039925
2756.250000	-68.111641
2842.382813	-58.401245
2928.515625	-55.225857
3014.648438	-59.618324
3100.781250	-64.721329
3186.914063	-65.743874
3273.046875	-70.549484
3359.179688	-72.665115
3445.312500	-71.512856
3531.445313	-64.884087
3617.578125	-62.299480
3703.710938	-56.877903
3789.843750	-47.930836
3875.976563	-46.729076
3962.109375	-53.103821
4048.242188	-52.885101
4134.375000	-47.206291
4220.507813	-49.659496
4306.640625	-55.160828
4392.773438	-53.892025
4478.906250	-54.828266
4565.039063	-55.700977
4651.171875	-52.558098
4737.304688	-47.352959
4823.437500	-39.425732
4909.570313	-39.880215
4995.703125	-49.078224
5081.835938	-53.809559
5167.968750	-57.087978
5254.101563	-59.729839
5340.234375	-61.830105
5426.367188	-60.639950
5512.500000	-53.443275
5598.632813	-46.884590
5684.765625	-46.254566
5770.898438	-51.063648
5857.031250	-56.142403
5943.164063	-58.997890
6029.296875	-59.566433
6115.429688	-55.744411
6201.562500	-53.422691
6287.695313	-53.343914
6373.828125	-59.232780
6459.960938	-64.828751
6546.093750	-61.658531
6632.226563	-60.255356
6718.359375	-60.900333
6804.492188	-62.261555
6890.625000	-62.558578
6976.757813	-62.211277
7062.890625	-64.785431
7149.023438	-65.940659
7235.156250	-62.183781
7321.289063	-64.870277
7407.421875	-73.280167
7493.554688	-75.668823
7579.687500	-73.731590
7665.820313	-76.350410
7751.953125	-70.522369
7838.085938	-71.659821
7924.218750	-75.242851
8010.351563	-77.084923
8096.484375	-72.570389
8182.617188	-67.529480
8268.750000	-67.838440
8354.882813	-68.870415
8441.015625	-68.275108
8527.148438	-72.156738
8613.281250	-76.322578
8699.414063	-76.481400
8785.546875	-80.362709
8871.679688	-88.800896
8957.812500	-88.345901
9043.945313	-87.696953
9130.078125	-84.599396
9216.210938	-81.030663
9302.343750	-80.146088
