Frequency (Hz)	Level (dB)
86.132813	-60.683846
172.265625	-59.213558
258.398438	-60.226696
344.531250	-63.178394
430.664063	-65.958389
516.796875	-66.848892
602.929688	-67.462051
689.062500	-69.650093
775.195313	-70.027679
861.328125	-69.816109
947.460938	-69.710686
1033.593750	-68.445984
1119.726563	-59.842480
1205.859375	-54.475212
1291.992188	-55.189369
1378.125000	-57.869366
1464.257813	-60.887589
1550.390625	-64.024918
1636.523438	-70.325493
1722.656250	-71.662308
1808.789063	-65.552734
1894.921875	-64.742348
1981.054688	-65.864449
2067.187500	-63.996647
2153.320313	-61.830700
2239.453125	-63.696259
2325.585938	-67.358421
2411.718750	-74.763763
2497.851563	-77.266388
2583.984375	-70.681244
2670.117188	-67.629158
2756.250000	-69.568787
2842.382813	-66.738449
2928.515625	-62.118858
3014.648438	-63.253105
3100.781250	-65.464806
3186.914063	-67.582809
3273.046875	-69.816025
3359.179688	-63.403866
3445.312500	-59.006783
3531.445313	-55.370972
3617.578125	-54.742298
3703.710938	-57.806232
3789.843750	-61.581196
3875.976563	-61.176975
3962.109375	-59.595737
4048.242188	-53.827713
4134.375000	-49.389568
4220.507813	-51.069458
4306.640625	-55.806503
4392.773438	-56.901035
4478.906250	-54.145409
4565.039063	-53.536900
4651.171875	-58.080147
4737.304688	-58.373863
4823.437500	-49.645153
4909.570313	-49.779713
4995.703125	-57.051991
5081.835938	-71.060738
5167.968750	-69.878075
5254.101563	-64.140968
5340.234375	-62.255936
5426.367188	-59.264832
5512.500000	-55.222000
5598.632813	-52.520111
5684.765625	-53.727570
5770.898438	-58.110401
5857.031250	-62.176102
5943.164063	-67.142014
6029.296875	-77.540718
6115.429688	-81.403008
6201.562500	-80.040901
6287.695313	-77.702721
6373.828125	-75.379814
6459.960938	-73.084747
6546.093750	-70.325943
6632.226563	-68.947701
6718.359375	-69.209183
6804.492188	-70.001122
6890.625000	-71.598930
6976.757813	-73.579193
7062.890625	-76.427498
7149.023438	-80.652298
7235.156250	-81.703384
7321.289063	-85.557327
7407.421875	-90.387474
7493.554688	-84.161850
7579.687500	-85.097412
7665.820313	-90.983932
7751.953125	-83.864136
7838.085938	-85.354538
7924.218750	-89.258919
8010.351563	-88.494308
8096.484375	-86.894043
8182.617188	-88.664063
8268.750000	-96.092201
8354.882813	-97.513756
8441.015625	-96.057480
8527.148438	-94.309219
8613.281250	-95.181320
8699.414063	-99.498940
8785.546875	-102.942795
8871.679688	-100.139214
8957.812500	-101.103828
9043.945313	-95.959244
9130.078125	-92.773933
9216.210938	-83.889328
9302.343750	-79.582611
9388.476563	-78.614868
9474.609375	-80.163345
9560.742188	-83.625168
9646.875000	-81.481827
9733.007813	-76.297119
9819.140625	-75.590324
9905.273438	-79.015556
9991.406250	-75.169189
10077.539063	-69.405487
10163.671875	-68.207161
10249.804688	-70.614098
10335.937500	-74.809624
10422.070313	-77.828979
10508.203125	-79.586327
10594.335938	-81.915619
10680.468750	-84.205338
10766.601563	-84.618027
10852.734375	-82.936897
10938.867188	-80.600838
11025.000000	-79.483818
11111.132813	-79.900551
11197.265625	-81.031609
11283.398438	-82.094589
11369.531250	-82.546196
11455.664063	-83.325729
11541.796875	-85.473511
11627.929688	-89.082451
11714.062500	-92.852585
11800.195313	-94.530380
11886.328125	-94.590263
11972.460938	-96.024078
12058.593750	-96.212555
12144.726563	-96.396629
12230.859375	-99.940392
12316.992188	-96.116638
12403.125000	-86.723778
12489.257813	-83.291519
12575.390625	-83.121788
12661.523438	-85.183136
12747.656250	-89.215363
12833.789063	-92.759026
12919.921875	-91.885422
13006.054688	-89.991013
13092.187500	-88.663940
13178.320313	-89.463387
13264.453125	-92.540779
13350.585938	-97.555954
13436.718750	-100.457970
13522.851563	-98.847122
13608.984375	-96.381477
13695.117188	-94.593864
13781.250000	-93.670219
13867.382813	-93.125984
13953.515625	-93.672630
14039.648438	-95.701683
14125.781250	-96.477089
14211.914063	-97.200600
14298.046875	-101.512230
14384.179688	-104.352631
14470.312500	-102.814026
14556.445313	-102.107048
14642.578125	-100.566620
14728.710938	-102.089882
14814.843750	-104.112198
14900.976563	-104.188019
14987.109375	-107.720024
15073.242188	-104.755005
15159.375000	-99.426903
15245.507813	-97.308449
15331.640625	-96.680206
15417.773438	-95.855278
15503.906250	-95.448456
15590.039063	-96.057076
15676.171875	-96.841049
15762.304688	-96.723351
15848.437500	-96.186607
15934.570313	-96.049545
16020.703125	-96.856163
16106.835938	-98.017395
16192.968750	-99.227303
16279.101563	-101.970474
16365.234375	-107.646027
16451.367188	-116.755676
16537.500000	-113.287018
16623.632813	-112.235214
16709.765625	-115.517929
16795.898438	-121.935715
16882.031250	-122.851196
16968.164063	-121.401886
17054.296875	-120.239616
17140.429688	-121.180611
17226.562500	-122.228027
17312.695313	-120.294121
17398.828125	-119.259445
17484.960938	-121.038612
17571.093750	-122.237106
17657.226563	-121.750099
17743.359375	-120.994781
17829.492188	-118.153938
17915.625000	-113.795601
18001.757813	-111.330780
18087.890625	-111.400047
18174.023438	-111.663582
18260.156250	-109.295258
18346.289063	-107.084267
18432.421875	-105.930672
18518.554688	-105.734642
18604.687500	-106.572029
18690.820313	-109.023254
18776.953125	-113.537865
18863.085938	-114.610336
18949.218750	-110.236984
19035.351563	-107.661186
19121.484375	-106.290009
19207.617188	-105.667702
19293.750000	-105.859253
19379.882813	-106.952530
19466.015625	-108.990211
19552.148438	-112.108559
19638.281250	-116.061371
19724.414063	-120.115662
19810.546875	-123.571236
19896.679688	-126.606934
19982.812500	-129.394058
20068.945313	-130.503922
20155.078125	-130.123428
20241.210938	-130.808792
20327.343750	-132.643997
20413.476563	-132.068695
20499.609375	-132.098694
20585.742188	-136.841644
20671.875000	-136.876755
20758.007813	-134.915451
20844.140625	-135.897369
20930.273438	-138.852692
21016.406250	-140.959961
21102.539063	-144.069870
21188.671875	-145.026047
21274.804688	-144.255646
21360.937500	-146.499786
21447.070313	-147.941299
21533.203125	-149.384521
21619.335938	-150.618652
21705.468750	-152.623291
21791.601563	-155.005768
21877.734375	-155.675308
21963.867188	-157.075363
