Frequency (Hz)	Level (dB)
86.132813	-49.406731
172.265625	-53.089870
258.398438	-55.304474
344.531250	-57.167301
430.664063	-58.383663
516.796875	-57.344425
602.929688	-56.811390
689.062500	-62.414581
775.195313	-63.690651
861.328125	-65.425369
947.460938	-66.027779
1033.593750	-65.231415
1119.726563	-54.934574
1205.859375	-48.117702
1291.992188	-50.363705
1378.125000	-55.443016
1464.257813	-56.993172
1550.390625	-59.260006
1636.523438	-60.970806
1722.656250	-60.658783
1808.789063	-57.288174
1894.921875	-50.995834
1981.054688	-48.002384
2067.187500	-53.936695
2153.320313	-56.712166
2239.453125	-58.438881
2325.585938	-60.659348
2411.718750	-64.136398
2497.851563	-64.377548
2583.984375	-60.155300
2670.117188	-57.669067
2756.250000	-58.286179
2842.382813	-60.371899
2928.515625	-61.763351
3014.648438	-62.991623
3100.781250	-65.600670
3186.914063	-65.664970
3273.046875	-64.115776
3359.179688	-62.317345
3445.312500	-59.932510
3531.445313	-55.813225
3617.578125	-55.498844
3703.710938	-59.228767
3789.843750	-58.365349
3875.976563	-57.713776
3962.109375	-62.193462
4048.242188	-57.658867
4134.375000	-53.221539
4220.507813	-55.101742
4306.640625	-60.104851
4392.773438	-58.956806
4478.906250	-55.424950
4565.039063	-51.498493
4651.171875	-53.509338
4737.304688	-52.443699
4823.437500	-45.985111
4909.570313	-46.010788
4995.703125	-53.605450
5081.835938	-57.972881
5167.968750	-60.575607
5254.101563	-59.587776
5340.234375	-59.110733
5426.367188	-58.402039
5512.500000	-57.456947
5598.632813	-55.172718
5684.765625	-54.345303
5770.898438	-59.704433
5857.031250	-59.135033
5943.164063	-61.678783
6029.296875	-62.645859
6115.429688	-66.510841
6201.562500	-66.290657
6287.695313	-65.165436
6373.828125	-67.669678
6459.960938	-66.191345
6546.093750	-62.456593
6632.226563	-62.373062
6718.359375	-63.145195
6804.492188	-63.337257
6890.625000	-67.509796
6976.757813	-65.425980
7062.890625	-64.139404
7149.023438	-59.674015
7235.156250	-59.763939
