Frequency (Hz)	Level (dB)
86.132813	-66.572769
172.265625	-61.847790
258.398438	-63.022083
344.531250	-67.074928
430.664063	-66.166130
516.796875	-69.734703
602.929688	-71.195236
689.062500	-72.276817
775.195313	-72.792305
861.328125	-73.843849
947.460938	-75.141632
1033.593750	-70.821434
1119.726563	-63.238091
1205.859375	-62.189957
1291.992188	-66.587753
1378.125000	-66.444275
1464.257813	-67.563148
1550.390625	-69.121529
1636.523438	-71.618881
1722.656250	-73.039307
1808.789063	-69.546448
1894.921875	-70.411331
1981.054688	-76.276466
2067.187500	-71.097054
2153.320313	-63.627388
2239.453125	-64.101105
2325.585938	-69.874031
2411.718750	-73.670181
2497.851563	-75.341377
2583.984375	-72.714378
2670.117188	-71.142372
2756.250000	-70.651443
2842.382813	-72.227631
2928.515625	-70.680222
3014.648438	-71.698616
3100.781250	-72.469002
3186.914063	-67.723679
3273.046875	-71.194809
3359.179688	-76.397186
3445.312500	-76.085098
3531.445313	-74.908966
3617.578125	-72.394974
3703.710938	-72.110489
3789.843750	-74.239723
3875.976563	-73.375084
3962.109375	-71.457214
4048.242188	-63.305149
4134.375000	-57.636833
4220.507813	-58.694160
4306.640625	-62.135204
4392.773438	-63.037239
4478.906250	-68.127785
4565.039063	-69.370209
4651.171875	-67.510727
4737.304688	-62.169971
4823.437500	-54.924793
4909.570313	-55.877174
4995.703125	-65.634018
5081.835938	-71.230598
5167.968750	-75.361809
5254.101563	-75.001945
5340.234375	-74.607002
5426.367188	-69.589867
5512.500000	-69.218239
5598.632813	-73.546745
5684.765625	-80.015038
5770.898438	-75.979668
5857.031250	-72.039879
5943.164063	-72.300148
6029.296875	-72.253632
6115.429688	-76.132782
6201.562500	-78.888138
6287.695313	-71.736145
6373.828125	-73.303001
6459.960938	-80.995499
6546.093750	-87.573807
6632.226563	-86.599548
6718.359375	-86.838776
6804.492188	-83.420273
6890.625000	-81.837807
6976.757813	-81.569031
7062.890625	-81.861053
7149.023438	-82.681183
7235.156250	-83.040382
7321.289063	-84.516624
7407.421875	-87.464684
7493.554688	-83.204330
7579.687500	-81.582283
7665.820313	-87.154503
7751.953125	-84.771477
7838.085938	-85.214615
7924.218750	-89.129898
8010.351563	-91.856873
8096.484375	-95.784935
8182.617188	-96.001556
8268.750000	-97.294983
8354.882813	-98.134987
8441.015625	-94.670876
8527.148438	-91.194496
8613.281250	-90.611839
8699.414063	-94.059418
8785.546875	-100.026711
8871.679688	-98.770920
8957.812500	-92.266342
9043.945313	-91.707291
9130.078125	-92.270378
9216.210938	-89.811272
9302.343750	-88.816277
9388.476563	-90.052689
9474.609375	-93.636772
9560.742188	-92.706284
9646.875000	-91.488579
9733.007813	-92.162399
9819.140625	-94.729225
9905.273438	-90.038124
9991.406250	-83.775223
10077.539063	-77.917427
10163.671875	-77.371498
10249.804688	-81.896660
10335.937500	-86.422752
10422.070313	-89.982544
10508.203125	-90.892731
10594.335938	-94.156868
10680.468750	-91.317322
10766.601563	-93.539268
10852.734375	-97.671730
10938.867188	-93.810120
11025.000000	-96.965195
11111.132813	-103.765816
11197.265625	-97.919601
11283.398438	-90.450508
11369.531250	-88.949928
11455.664063	-92.126114
11541.796875	-96.341377
11627.929688	-91.524666
11714.062500	-95.948059
11800.195313	-103.218826
11886.328125	-102.105103
11972.460938	-106.453560
12058.593750	-109.353416
12144.726563	-106.659019
12230.859375	-104.693703
12316.992188	-100.472511
12403.125000	-99.949600
12489.257813	-102.498199
12575.390625	-99.166817
12661.523438	-100.885551
12747.656250	-105.813210
12833.789063	-106.999641
12919.921875	-108.869690
13006.054688	-112.198074
13092.187500	-111.343307
13178.320313	-109.025490
13264.453125	-107.839066
13350.585938	-110.862823
13436.718750	-108.354378
13522.851563	-108.208542
13608.984375	-107.789467
13695.117188	-107.352333
13781.250000	-112.018570
13867.382813	-112.567055
13953.515625	-112.830711
14039.648438	-115.178467
14125.781250	-116.138962
14211.914063	-110.238846
14298.046875	-105.236862
14384.179688	-105.043793
14470.312500	-107.477318
14556.445313	-111.620384
14642.578125	-110.552010
14728.710938	-104.472420
