Frequency (Hz)	Level (dB)
86.132813	-50.822960
172.265625	-49.752079
258.398438	-51.967518
344.531250	-55.493526
430.664063	-56.124119
516.796875	-61.123138
602.929688	-60.749176
689.062500	-60.135090
775.195313	-60.349777
861.328125	-61.854507
947.460938	-62.879593
1033.593750	-58.219551
1119.726563	-52.034893
1205.859375	-50.622112
1291.992188	-53.688351
1378.125000	-54.757904
1464.257813	-55.165161
1550.390625	-57.273613
1636.523438	-61.462982
1722.656250	-65.869568
1808.789063	-60.689926
1894.921875	-63.725491
1981.054688	-67.639565
2067.187500	-61.980583
2153.320313	-59.138374
2239.453125	-60.312035
2325.585938	-60.965099
2411.718750	-62.650581
2497.851563	-62.857517
2583.984375	-61.139706
2670.117188	-58.986408
2756.250000	-58.558022
2842.382813	-60.715000
2928.515625	-61.388954
3014.648438	-63.535915
3100.781250	-70.860847
3186.914063	-69.456841
3273.046875	-71.415428
3359.179688	-67.213600
3445.312500	-65.994392
3531.445313	-67.104485
3617.578125	-64.676079
3703.710938	-61.822891
3789.843750	-63.038780
3875.976563	-67.186066
3962.109375	-65.246674
4048.242188	-62.665638
4134.375000	-56.075706
4220.507813	-55.736664
4306.640625	-58.770840
4392.773438	-59.354416
4478.906250	-60.077618
4565.039063	-60.882912
4651.171875	-67.688187
4737.304688	-57.212204
4823.437500	-50.138042
4909.570313	-50.670532
4995.703125	-59.572292
5081.835938	-66.803284
5167.968750	-72.663872
5254.101563	-72.964821
5340.234375	-69.747925
5426.367188	-66.124985
5512.500000	-65.459740
5598.632813	-68.803772
5684.765625	-71.762604
5770.898438	-73.480255
5857.031250	-70.079292
5943.164063	-68.389763
6029.296875	-67.112221
6115.429688	-66.232048
6201.562500	-67.971779
6287.695313	-65.782631
6373.828125	-65.032700
6459.960938	-68.314148
6546.093750	-68.626732
6632.226563	-69.004700
6718.359375	-71.575493
6804.492188	-70.698784
6890.625000	-69.318588
6976.757813	-67.085930
7062.890625	-66.593948
7149.023438	-65.564934
7235.156250	-67.172775
7321.289063	-74.579010
7407.421875	-81.879326
7493.554688	-73.606552
7579.687500	-64.102058
7665.820313	-61.078571
7751.953125	-61.982441
7838.085938	-64.357895
7924.218750	-69.404213
8010.351563	-75.465828
8096.484375	-78.618004
8182.617188	-82.142677
8268.750000	-80.824196
8354.882813	-80.174713
8441.015625	-83.187447
8527.148438	-81.075264
8613.281250	-81.055710
8699.414063	-79.902893
8785.546875	-77.555275
8871.679688	-77.916023
8957.812500	-79.745941
9043.945313	-76.506592
9130.078125	-72.429825
9216.210938	-72.237091
9302.343750	-77.902451
9388.476563	-84.102371
9474.609375	-78.935349
9560.742188	-75.046700
9646.875000	-77.604782
9733.007813	-84.241058
9819.140625	-78.575729
9905.273438	-73.151367
9991.406250	-68.068771
10077.539063	-63.465134
10163.671875	-62.757832
10249.804688	-66.384987
10335.937500	-72.224052
10422.070313	-77.779358
10508.203125	-82.348328
10594.335938	-80.735199
10680.468750	-81.001495
10766.601563	-86.100922
10852.734375	-94.105499
10938.867188	-88.381752
11025.000000	-87.353973
11111.132813	-85.846466
11197.265625	-90.770744
11283.398438	-82.905060
11369.531250	-80.364830
11455.664063	-84.247963
11541.796875	-92.488922
11627.929688	-86.797195
11714.062500	-87.018555
11800.195313	-89.458237
11886.328125	-93.641296
11972.460938	-96.702499
12058.593750	-93.781815
12144.726563	-93.540886
12230.859375	-92.732445
12316.992188	-89.776085
12403.125000	-87.900444
12489.257813	-86.507538
12575.390625	-86.581947
12661.523438	-90.778358
12747.656250	-102.995300
12833.789063	-92.244240
12919.921875	-90.430786
13006.054688	-90.045723
13092.187500	-91.629448
13178.320313	-95.693222
13264.453125	-96.737289
13350.585938	-93.750290
13436.718750	-96.725883
13522.851563	-103.112236
13608.984375	-99.801178
13695.117188	-101.988045
13781.250000	-94.845963
13867.382813	-87.483101
13953.515625	-85.051697
14039.648438	-86.575424
14125.781250	-89.998711
14211.914063	-94.280663
14298.046875	-99.860741
14384.179688	-99.190834
14470.312500	-106.767296
14556.445313	-101.724869
14642.578125	-95.858337
14728.710938	-92.193146
14814.843750	-88.934990
14900.976563	-86.679489
14987.109375	-87.348083
15073.242188	-90.821190
15159.375000	-90.435905
15245.507813	-89.293182
15331.640625	-89.243927
15417.773438	-90.747742
15503.906250	-92.923180
15590.039063	-89.304756
15676.171875	-86.192047
15762.304688	-87.094933
15848.437500	-90.233322
15934.570313	-90.302650
16020.703125	-88.153183
16106.835938	-87.690033
16192.968750	-90.356506
16279.101563	-97.019951
16365.234375	-99.870399
16451.367188	-96.136230
16537.500000	-96.900856
16623.632813	-101.292221
16709.765625	-103.994644
16795.898438	-100.394768
16882.031250	-95.228424
16968.164063	-92.849297
17054.296875	-92.236496
17140.429688	-93.686630
17226.562500	-95.847252
17312.695313	-95.498077
17398.828125	-93.448357
17484.960938	-90.392227
17571.093750	-89.789490
17657.226563	-94.105484
17743.359375	-100.260513
17829.492188	-98.762665
17915.625000	-104.139923
18001.757813	-97.296791
18087.890625	-99.617737
18174.023438	-101.270912
18260.156250	-98.473770
18346.289063	-104.033684
18432.421875	-109.596458
18518.554688	-111.429359
18604.687500	-112.654808
18690.820313	-105.075836
18776.953125	-100.620209
18863.085938	-102.400078
18949.218750	-107.490074
19035.351563	-111.699593
19121.484375	-105.226463
19207.617188	-103.490654
19293.750000	-110.141602
19379.882813	-114.160721
19466.015625	-108.767830
19552.148438	-105.774445
19638.281250	-110.078835
19724.414063	-112.525810
19810.546875	-105.594315
19896.679688	-104.833221
19982.812500	-108.961571
20068.945313	-110.701477
20155.078125	-112.267677
20241.210938	-113.436348
20327.343750	-109.663734
20413.476563	-107.536003
20499.609375	-110.692810
20585.742188	-121.202332
20671.875000	-113.406830
20758.007813	-111.978378
20844.140625	-113.044151
20930.273438	-117.327187
21016.406250	-129.460419
21102.539063	-123.640228
21188.671875	-119.324211
21274.804688	-119.735107
21360.937500	-123.047836
21447.070313	-125.816841
21533.203125	-128.943298
21619.335938	-134.161484
21705.468750	-130.814392
21791.601563	-132.673065
21877.734375	-142.140045
21963.867188	-139.451019
