Frequency (Hz)	Level (dB)
86.132813	-51.413914
172.265625	-50.401505
258.398438	-53.062096
344.531250	-56.544930
430.664063	-53.981888
516.796875	-53.016918
602.929688	-51.171364
689.062500	-56.962574
775.195313	-59.194584
861.328125	-60.261150
947.460938	-61.279346
1033.593750	-55.764755
1119.726563	-50.122730
1205.859375	-51.225925
1291.992188	-54.320965
1378.125000	-55.145992
1464.257813	-57.302788
1550.390625	-59.555958
1636.523438	-63.482803
1722.656250	-64.047554
1808.789063	-62.036858
1894.921875	-54.549889
1981.054688	-48.227287
2067.187500	-50.393341
2153.320313	-54.334808
2239.453125	-56.937569
2325.585938	-59.196362
2411.718750	-61.216156
2497.851563	-62.958988
2583.984375	-64.885391
2670.117188	-67.698494
2756.250000	-68.251099
2842.382813	-56.229633
2928.515625	-54.644348
3014.648438	-59.828796
3100.781250	-63.159107
3186.914063	-63.436760
3273.046875	-59.953209
3359.179688	-60.622318
3445.312500	-62.511982
3531.445313	-63.017239
3617.578125	-63.884781
3703.710938	-63.462616
3789.843750	-53.187202
3875.976563	-50.955708
3962.109375	-57.533474
4048.242188	-55.294540
4134.375000	-56.674118
4220.507813	-52.505047
4306.640625	-49.643452
4392.773438	-54.798668
4478.906250	-54.231266
4565.039063	-51.301952
4651.171875	-57.126759
4737.304688	-53.868637
4823.437500	-47.010647
4909.570313	-47.441372
4995.703125	-55.817085
5081.835938	-61.675880
5167.968750	-68.186806
5254.101563	-71.411491
5340.234375	-71.455124
5426.367188	-68.975471
5512.500000	-62.447559
5598.632813	-56.821465
5684.765625	-55.660526
5770.898438	-60.203869
5857.031250	-65.950996
5943.164063	-69.506935
6029.296875	-70.947182
6115.429688	-64.590881
6201.562500	-58.094097
6287.695313	-57.026260
6373.828125	-61.199707
6459.960938	-63.862259
6546.093750	-63.723904
6632.226563	-65.458038
6718.359375	-68.783348
6804.492188	-71.309723
6890.625000	-71.888130
6976.757813	-69.368080
7062.890625	-68.460258
7149.023438	-66.753914
7235.156250	-65.750717
7321.289063	-66.223564
7407.421875	-70.982887
7493.554688	-76.683708
7579.687500	-75.514038
7665.820313	-66.094810
7751.953125	-62.037037
7838.085938	-64.069931
7924.218750	-69.670746
8010.351563	-66.498192
8096.484375	-57.489082
8182.617188	-54.186268
8268.750000	-57.906052
8354.882813	-69.603828
8441.015625	-66.822762
8527.148438	-67.980515
8613.281250	-71.985336
8699.414063	-70.877403
8785.546875	-73.109894
8871.679688	-76.140427
8957.812500	-78.309380
9043.945313	-75.951469
9130.078125	-74.259827
9216.210938	-75.642014
9302.343750	-77.845749
9388.476563	-77.099297
9474.609375	-70.643608
9560.742188	-68.517242
9646.875000	-70.992668
9733.007813	-75.186630
9819.140625	-69.881226
9905.273438	-69.316528
9991.406250	-67.971497
10077.539063	-63.973148
10163.671875	-64.466957
10249.804688	-70.761505
10335.937500	-79.267921
10422.070313	-83.018845
10508.203125	-84.327835
10594.335938	-82.256119
10680.468750	-80.755363
10766.601563	-81.142647
10852.734375	-76.717606
10938.867188	-72.997070
11025.000000	-72.490517
11111.132813	-75.250801
11197.265625	-79.810410
11283.398438	-79.289024
11369.531250	-75.907806
11455.664063	-77.889656
11541.796875	-80.016533
11627.929688	-77.524323
11714.062500	-76.419609
11800.195313	-77.852943
11886.328125	-78.857567
11972.460938	-78.341240
12058.593750	-79.075523
12144.726563	-80.729858
12230.859375	-80.890152
12316.992188	-82.822548
12403.125000	-83.776260
12489.257813	-85.216408
12575.390625	-87.935257
12661.523438	-92.553246
12747.656250	-94.695938
12833.789063	-90.303139
12919.921875	-89.835938
13006.054688	-94.106941
13092.187500	-89.868660
13178.320313	-87.944374
13264.453125	-91.019485
13350.585938	-91.545525
13436.718750	-86.379959
13522.851563	-83.875381
13608.984375	-82.730980
13695.117188	-82.684090
13781.250000	-83.209946
13867.382813	-84.520668
13953.515625	-88.695198
14039.648438	-96.394714
14125.781250	-88.668770
14211.914063	-88.340813
14298.046875	-86.700081
14384.179688	-84.466835
14470.312500	-91.094170
14556.445313	-87.068695
14642.578125	-85.529091
14728.710938	-89.775871
14814.843750	-90.742630
14900.976563	-92.689034
14987.109375	-91.591713
15073.242188	-92.875710
15159.375000	-92.430901
15245.507813	-90.092697
15331.640625	-92.876602
15417.773438	-89.522400
15503.906250	-88.411514
15590.039063	-92.238899
15676.171875	-89.854050
15762.304688	-85.136871
15848.437500	-83.382172
15934.570313	-81.441750
16020.703125	-79.533112
16106.835938	-80.664284
16192.968750	-86.051468
16279.101563	-88.133492
16365.234375	-88.931053
16451.367188	-94.946884
16537.500000	-93.898148
16623.632813	-92.992195
16709.765625	-94.151909
16795.898438	-99.437744
16882.031250	-100.649277
16968.164063	-98.419014
17054.296875	-100.750916
17140.429688	-94.849693
17226.562500	-97.191589
17312.695313	-97.816040
17398.828125	-97.423622
17484.960938	-99.552513
17571.093750	-95.058205
17657.226563	-93.994080
17743.359375	-97.326714
17829.492188	-103.129448
17915.625000	-91.761795
18001.757813	-89.859016
18087.890625	-93.591530
18174.023438	-96.757957
18260.156250	-98.433510
18346.289063	-97.884224
18432.421875	-95.884598
18518.554688	-95.365097
18604.687500	-94.923409
18690.820313	-96.866844
18776.953125	-101.904434
18863.085938	-107.397964
18949.218750	-102.205391
19035.351563	-99.538681
19121.484375	-100.020340
19207.617188	-107.460014
19293.750000	-102.285370
19379.882813	-99.098999
19466.015625	-100.360291
19552.148438	-103.984894
19638.281250	-101.920883
19724.414063	-107.039879
19810.546875	-101.802910
19896.679688	-99.239983
19982.812500	-106.871094
20068.945313	-107.250618
20155.078125	-107.539566
20241.210938	-111.590012
20327.343750	-114.142586
20413.476563	-109.672157
20499.609375	-107.850998
20585.742188	-111.013901
20671.875000	-118.303360
20758.007813	-118.552284
20844.140625	-115.547874
20930.273438	-113.598061
21016.406250	-114.239372
21102.539063	-114.973282
21188.671875	-112.755402
21274.804688	-113.492691
21360.937500	-121.837776
21447.070313	-124.077728
21533.203125	-123.212379
21619.335938	-126.674232
21705.468750	-125.448380
21791.601563	-127.632095
21877.734375	-134.692841
21963.867188	-144.754196
