Frequency (Hz)	Level (dB)
86.132813	-49.068275
172.265625	-50.897099
258.398438	-58.808308
344.531250	-63.288380
430.664063	-67.587486
516.796875	-60.386257
602.929688	-59.677082
689.062500	-61.259346
775.195313	-60.295116
861.328125	-63.393055
947.460938	-66.408539
1033.593750	-67.804741
1119.726563	-67.427658
1205.859375	-64.967255
1291.992188	-62.404419
1378.125000	-49.125999
1464.257813	-46.224663
1550.390625	-50.840195
1636.523438	-58.161732
1722.656250	-62.656898
1808.789063	-68.508438
1894.921875	-63.574478
1981.054688	-54.667152
2067.187500	-56.390862
2153.320313	-67.293495
2239.453125	-65.650253
2325.585938	-65.055870
2411.718750	-56.224792
2497.851563	-54.541245
2583.984375	-62.140530
2670.117188	-62.286152
2756.250000	-64.514282
2842.382813	-67.390564
2928.515625	-68.187691
3014.648438	-68.465858
3100.781250	-70.271851
3186.914063	-74.599312
3273.046875	-70.415649
3359.179688	-71.441605
3445.312500	-76.937515
3531.445313	-70.920670
3617.578125	-60.606236
3703.710938	-56.670006
3789.843750	-55.732578
3875.976563	-55.123882
3962.109375	-60.354080
4048.242188	-71.741257
4134.375000	-69.367264
4220.507813	-67.526573
4306.640625	-69.720329
4392.773438	-74.225800
4478.906250	-78.202927
4565.039063	-76.463715
4651.171875	-74.988190
4737.304688	-72.207886
4823.437500	-69.326294
4909.570313	-69.825859
4995.703125	-76.832527
5081.835938	-87.102631
5167.968750	-81.963737
5254.101563	-79.488060
5340.234375	-78.987625
5426.367188	-74.975471
5512.500000	-73.101166
5598.632813	-75.222328
5684.765625	-74.198502
5770.898438	-70.642937
5857.031250	-73.374222
5943.164063	-75.947853
6029.296875	-77.265221
6115.429688	-82.197296
6201.562500	-82.765221
6287.695313	-78.781662
6373.828125	-74.523026
6459.960938	-71.020386
6546.093750	-70.237900
6632.226563	-70.988182
6718.359375	-71.987152
6804.492188	-74.981720
6890.625000	-76.032349
6976.757813	-71.854118
7062.890625	-71.778076
7149.023438	-76.471062
7235.156250	-82.949478
7321.289063	-72.789238
7407.421875	-71.577286
7493.554688	-78.835274
7579.687500	-76.525223
7665.820313	-72.416191
7751.953125	-71.418961
7838.085938	-67.557640
7924.218750	-65.774857
8010.351563	-66.465233
8096.484375	-70.699005
8182.617188	-79.146149
8268.750000	-86.444061
8354.882813	-90.873795
8441.015625	-96.718124
8527.148438	-95.633598
8613.281250	-89.984634
8699.414063	-87.641579
8785.546875	-86.916412
8871.679688	-90.025925
8957.812500	-97.597977
9043.945313	-94.322182
9130.078125	-101.055458
9216.210938	-94.126053
9302.343750	-93.122688
9388.476563	-92.053062
9474.609375	-85.701172
9560.742188	-86.359116
9646.875000	-92.159081
9733.007813	-93.852348
9819.140625	-92.825485
9905.273438	-84.469994
9991.406250	-80.199356
10077.539063	-81.639610
10163.671875	-81.237144
10249.804688	-78.059288
10335.937500	-80.229843
10422.070313	-83.863464
10508.203125	-84.782707
10594.335938	-86.526207
10680.468750	-85.921349
10766.601563	-86.036674
10852.734375	-86.752617
10938.867188	-87.526711
11025.000000	-85.792000
11111.132813	-83.706909
11197.265625	-84.173935
11283.398438	-86.504379
11369.531250	-89.889412
11455.664063	-90.485008
11541.796875	-94.956581
11627.929688	-103.164276
11714.062500	-102.521797
11800.195313	-98.747116
11886.328125	-96.353470
11972.460938	-100.026627
12058.593750	-99.033943
12144.726563	-100.239914
12230.859375	-105.226654
12316.992188	-102.870239
12403.125000	-99.069946
12489.257813	-99.922440
12575.390625	-101.809074
12661.523438	-100.679832
12747.656250	-100.030823
12833.789063	-102.777412
12919.921875	-104.943542
13006.054688	-102.180702
13092.187500	-94.745567
13178.320313	-93.569450
13264.453125	-97.024330
13350.585938	-102.826645
13436.718750	-103.073242
13522.851563	-102.282135
13608.984375	-100.296745
13695.117188	-101.411125
13781.250000	-96.697365
13867.382813	-96.949524
13953.515625	-102.139236
14039.648438	-104.033348
14125.781250	-102.306046
14211.914063	-104.712044
14298.046875	-100.766068
14384.179688	-100.007942
14470.312500	-96.425156
14556.445313	-92.315483
14642.578125	-96.184387
14728.710938	-101.806473
14814.843750	-94.106987
14900.976563	-90.429108
14987.109375	-92.173347
15073.242188	-101.852730
15159.375000	-97.403778
15245.507813	-100.560562
15331.640625	-106.011749
15417.773438	-100.918419
15503.906250	-104.126694
15590.039063	-104.902122
15676.171875	-100.229034
15762.304688	-102.968155
15848.437500	-102.539665
15934.570313	-102.384888
16020.703125	-101.074722
16106.835938	-103.188202
16192.968750	-103.886314
16279.101563	-108.405136
16365.234375	-101.443016
16451.367188	-99.476570
16537.500000	-104.025398
16623.632813	-104.116402
16709.765625	-103.684273
16795.898438	-106.379333
16882.031250	-108.580658
16968.164063	-100.699219
17054.296875	-99.217018
17140.429688	-102.186646
17226.562500	-109.963394
17312.695313	-102.792358
17398.828125	-99.359543
17484.960938	-99.257591
17571.093750	-104.431068
17657.226563	-108.332603
17743.359375	-99.295769
17829.492188	-97.924980
17915.625000	-101.141724
18001.757813	-111.396858
18087.890625	-111.574120
18174.023438	-105.914711
18260.156250	-105.538544
18346.289063	-109.527229
18432.421875	-108.105850
18518.554688	-103.395348
18604.687500	-101.234497
18690.820313	-103.790192
18776.953125	-111.651474
18863.085938	-108.825806
18949.218750	-105.845940
19035.351563	-108.032074
19121.484375	-115.479362
19207.617188	-109.325989
19293.750000	-107.715668
19379.882813	-110.812836
19466.015625	-115.201462
19552.148438	-114.786644
19638.281250	-120.384865
19724.414063	-119.306221
19810.546875	-114.383202
19896.679688	-114.938416
19982.812500	-115.095184
20068.945313	-112.035332
20155.078125	-108.814331
20241.210938	-111.016312
20327.343750	-115.347404
20413.476563	-117.167404
20499.609375	-118.244492
20585.742188	-117.248055
20671.875000	-122.180656
20758.007813	-129.700729
20844.140625	-127.318939
20930.273438	-126.896194
21016.406250	-134.173782
