Frequency (Hz)	Level (dB)
86.132813	-59.884380
172.265625	-59.526115
258.398438	-63.018463
344.531250	-68.349159
430.664063	-71.873604
516.796875	-69.694351
602.929688	-68.942986
689.062500	-69.543098
775.195313	-69.815231
861.328125	-72.040489
947.460938	-74.523743
1033.593750	-76.410355
1119.726563	-76.056709
1205.859375	-73.257736
1291.992188	-71.328812
1378.125000	-59.155460
1464.257813	-55.885040
1550.390625	-59.119003
1636.523438	-65.118858
1722.656250	-73.118309
1808.789063	-78.863220
1894.921875	-80.631638
1981.054688	-75.150604
2067.187500	-72.587944
2153.320313	-71.870956
2239.453125	-72.757843
2325.585938	-70.859047
2411.718750	-64.695625
2497.851563	-62.568966
2583.984375	-68.359406
2670.117188	-68.637558
2756.250000	-68.194725
2842.382813	-70.782387
2928.515625	-71.651474
3014.648438	-72.263618
3100.781250	-73.318756
3186.914063	-74.791542
3273.046875	-76.759415
3359.179688	-80.031815
3445.312500	-74.081009
3531.445313	-68.355278
3617.578125	-62.426098
3703.710938	-61.521759
3789.843750	-66.441765
3875.976563	-72.716667
3962.109375	-72.970421
4048.242188	-70.118820
4134.375000	-66.452972
4220.507813	-65.639793
4306.640625	-68.087456
4392.773438	-71.967476
4478.906250	-75.954384
4565.039063	-80.731155
4651.171875	-78.720192
4737.304688	-77.479752
4823.437500	-71.774666
4909.570313	-71.927185
4995.703125	-76.327858
5081.835938	-75.297005
5167.968750	-74.489151
5254.101563	-78.040604
5340.234375	-81.166229
5426.367188	-77.011383
5512.500000	-80.023552
5598.632813	-82.772820
5684.765625	-79.974991
5770.898438	-78.680229
5857.031250	-78.160675
5943.164063	-81.099152
6029.296875	-87.174377
6115.429688	-85.318901
6201.562500	-84.465286
6287.695313	-92.651726
6373.828125	-84.762062
6459.960938	-78.829247
6546.093750	-79.327675
6632.226563	-81.457664
6718.359375	-82.578949
6804.492188	-90.148102
6890.625000	-83.150215
6976.757813	-78.833771
7062.890625	-80.380135
7149.023438	-84.350258
7235.156250	-84.503891
7321.289063	-81.966393
7407.421875	-80.834297
7493.554688	-84.757034
7579.687500	-87.051826
7665.820313	-78.377441
7751.953125	-73.726639
7838.085938	-71.210495
7924.218750	-69.681763
8010.351563	-70.255882
8096.484375	-74.705269
