Frequency (Hz)	Level (dB)
86.132813	-49.943954
172.265625	-51.484432
258.398438	-58.068245
344.531250	-62.367359
430.664063	-65.999214
516.796875	-63.801018
602.929688	-64.802338
689.062500	-60.212883
775.195313	-59.644283
861.328125	-64.123764
947.460938	-66.933662
1033.593750	-68.854012
1119.726563	-68.926788
1205.859375	-66.082420
1291.992188	-62.090214
1378.125000	-52.574108
1464.257813	-49.258389
1550.390625	-53.773457
1636.523438	-59.462948
1722.656250	-60.876450
1808.789063	-59.612484
1894.921875	-58.006462
1981.054688	-53.564018
2067.187500	-56.496536
2153.320313	-68.794899
2239.453125	-69.984039
2325.585938	-68.114288
2411.718750	-68.717201
2497.851563	-70.521248
2583.984375	-68.478149
2670.117188	-69.718956
2756.250000	-74.325600
2842.382813	-77.801826
2928.515625	-74.438644
3014.648438	-72.510162
3100.781250	-72.949547
3186.914063	-75.700867
3273.046875	-74.631210
3359.179688	-72.913536
3445.312500	-74.730316
3531.445313	-70.164841
3617.578125	-61.669224
3703.710938	-60.208473
3789.843750	-67.300758
3875.976563	-73.630127
3962.109375	-72.313164
4048.242188	-74.042435
4134.375000	-68.119118
4220.507813	-69.107567
4306.640625	-76.192970
4392.773438	-79.218208
4478.906250	-79.239326
4565.039063	-81.731438
4651.171875	-85.649261
4737.304688	-79.771370
4823.437500	-74.436180
4909.570313	-75.749191
4995.703125	-82.721458
5081.835938	-81.005066
5167.968750	-75.132484
5254.101563	-74.310623
5340.234375	-82.201988
5426.367188	-78.358307
5512.500000	-76.343781
5598.632813	-78.293999
5684.765625	-76.009247
5770.898438	-69.131058
5857.031250	-67.444344
5943.164063	-67.364815
6029.296875	-68.692276
6115.429688	-70.877335
6201.562500	-70.800140
6287.695313	-71.449448
6373.828125	-77.543732
6459.960938	-74.758553
6546.093750	-75.675598
6632.226563	-78.692039
6718.359375	-82.182686
6804.492188	-82.498138
6890.625000	-79.497093
6976.757813	-75.318413
7062.890625	-74.237213
7149.023438	-79.057037
7235.156250	-77.123840
7321.289063	-74.603081
7407.421875	-76.555016
7493.554688	-76.728844
7579.687500	-77.833626
7665.820313	-78.210236
7751.953125	-78.319321
7838.085938	-72.838799
7924.218750	-69.031609
8010.351563	-68.366959
8096.484375	-73.100456
8182.617188	-77.756844
8268.750000	-77.612556
8354.882813	-77.064079
8441.015625	-76.181168
8527.148438	-78.746078
8613.281250	-83.088013
8699.414063	-86.565346
8785.546875	-93.274178
8871.679688	-93.699593
8957.812500	-87.039948
9043.945313	-84.335114
9130.078125	-87.391403
9216.210938	-91.251274
9302.343750	-88.484093
9388.476563	-91.490311
9474.609375	-93.376274
9560.742188	-96.973206
9646.875000	-100.134056
9733.007813	-96.625641
9819.140625	-97.275269
9905.273438	-91.628670
9991.406250	-86.775917
10077.539063	-88.248642
10163.671875	-93.661095
10249.804688	-95.799103
10335.937500	-98.206360
10422.070313	-96.079735
10508.203125	-97.976471
10594.335938	-96.667084
10680.468750	-92.505020
10766.601563	-89.156807
10852.734375	-88.763603
10938.867188	-93.509094
11025.000000	-100.230095
11111.132813	-95.786057
11197.265625	-91.438652
11283.398438	-89.467865
11369.531250	-89.769707
11455.664063	-92.479813
11541.796875	-95.509583
11627.929688	-102.168411
11714.062500	-94.343758
11800.195313	-90.228020
11886.328125	-91.776749
11972.460938	-98.043877
12058.593750	-93.484818
12144.726563	-93.858620
12230.859375	-95.952782
12316.992188	-95.669525
12403.125000	-96.612572
12489.257813	-94.216438
12575.390625	-97.645126
12661.523438	-97.616684
12747.656250	-96.325920
12833.789063	-98.783760
12919.921875	-100.429276
13006.054688	-95.581314
13092.187500	-95.281273
13178.320313	-99.212990
13264.453125	-101.755066
13350.585938	-101.008301
