Frequency (Hz)	Level (dB)
86.132813	-49.953278
172.265625	-52.974823
258.398438	-58.148926
344.531250	-61.395191
430.664063	-61.958794
516.796875	-61.481197
602.929688	-61.794868
689.062500	-62.392372
775.195313	-63.435417
861.328125	-65.387283
947.460938	-66.298347
1033.593750	-66.735733
1119.726563	-64.489708
1205.859375	-60.715824
1291.992188	-59.398582
1378.125000	-60.708153
1464.257813	-65.899399
1550.390625	-70.957405
1636.523438	-65.338036
1722.656250	-63.282104
1808.789063	-63.056416
1894.921875	-64.554810
1981.054688	-65.673988
2067.187500	-63.149181
2153.320313	-61.482571
2239.453125	-63.496353
2325.585938	-66.555962
2411.718750	-67.276436
2497.851563	-65.535522
2583.984375	-61.161396
2670.117188	-54.480396
2756.250000	-55.715515
2842.382813	-63.843937
2928.515625	-61.770275
3014.648438	-63.528469
3100.781250	-67.033463
3186.914063	-67.114624
3273.046875	-65.631020
3359.179688	-65.689087
3445.312500	-62.190361
3531.445313	-60.176571
3617.578125	-56.336876
3703.710938	-53.701881
3789.843750	-58.600765
3875.976563	-66.572487
3962.109375	-62.007668
4048.242188	-63.783081
4134.375000	-59.888302
4220.507813	-55.857868
4306.640625	-56.527905
4392.773438	-62.189400
4478.906250	-65.670761
4565.039063	-65.891243
4651.171875	-62.421425
4737.304688	-62.756725
4823.437500	-57.297188
4909.570313	-50.037189
4995.703125	-49.257824
5081.835938	-46.038155
5167.968750	-39.716595
5254.101563	-40.123817
5340.234375	-46.641087
5426.367188	-51.012798
5512.500000	-58.116547
5598.632813	-55.902210
5684.765625	-53.948330
5770.898438	-55.149658
5857.031250	-58.910580
5943.164063	-64.340759
6029.296875	-68.840851
6115.429688	-64.157448
6201.562500	-58.646244
6287.695313	-57.669540
6373.828125	-61.443905
6459.960938	-71.386688
6546.093750	-72.014725
6632.226563	-74.812775
6718.359375	-77.754578
6804.492188	-74.421700
6890.625000	-69.565735
6976.757813	-67.846359
7062.890625	-68.840340
7149.023438	-71.808578
7235.156250	-76.766495
7321.289063	-82.814392
7407.421875	-75.569443
7493.554688	-70.489265
7579.687500	-67.641296
7665.820313	-62.399338
7751.953125	-58.453728
7838.085938	-56.797676
7924.218750	-59.311291
8010.351563	-66.574860
