Frequency (Hz)	Level (dB)
86.132813	-52.194473
172.265625	-53.661503
258.398438	-58.744080
344.531250	-61.370640
430.664063	-62.235737
516.796875	-61.524361
602.929688	-61.670513
689.062500	-62.711246
775.195313	-64.774605
861.328125	-67.554642
947.460938	-67.176903
1033.593750	-69.257904
1119.726563	-71.512131
1205.859375	-63.615692
1291.992188	-61.630928
1378.125000	-62.367428
1464.257813	-66.148415
1550.390625	-64.155922
1636.523438	-59.833801
1722.656250	-61.484020
1808.789063	-59.430729
1894.921875	-56.935448
1981.054688	-61.726746
2067.187500	-69.027946
2153.320313	-58.670845
2239.453125	-53.557926
2325.585938	-58.713070
2411.718750	-61.820591
2497.851563	-54.103600
2583.984375	-49.239372
2670.117188	-45.690311
2756.250000	-46.087784
2842.382813	-53.465118
2928.515625	-61.038116
3014.648438	-63.573902
3100.781250	-65.585526
3186.914063	-63.105694
3273.046875	-62.242069
3359.179688	-63.418514
3445.312500	-64.643860
3531.445313	-62.485565
3617.578125	-63.831532
3703.710938	-62.130890
3789.843750	-56.813332
3875.976563	-55.479935
3962.109375	-60.277241
4048.242188	-56.907784
4134.375000	-50.442413
4220.507813	-44.799381
4306.640625	-43.948387
4392.773438	-48.958576
4478.906250	-54.225052
4565.039063	-57.439739
4651.171875	-59.286106
4737.304688	-55.145939
4823.437500	-49.418739
4909.570313	-45.836548
4995.703125	-45.765816
5081.835938	-44.188843
5167.968750	-40.084610
5254.101563	-40.650360
5340.234375	-46.477573
5426.367188	-51.781040
5512.500000	-54.193718
5598.632813	-56.146706
5684.765625	-56.382069
5770.898438	-55.160999
5857.031250	-56.477535
5943.164063	-61.989113
6029.296875	-65.947342
6115.429688	-61.048004
6201.562500	-58.979618
6287.695313	-53.351582
6373.828125	-50.623234
6459.960938	-53.864861
6546.093750	-61.935276
6632.226563	-66.260460
6718.359375	-67.265968
6804.492188	-71.111732
6890.625000	-75.036301
6976.757813	-69.691010
7062.890625	-68.720100
7149.023438	-64.148170
7235.156250	-58.239414
7321.289063	-57.860989
7407.421875	-61.326965
7493.554688	-61.796352
7579.687500	-65.862968
7665.820313	-72.341599
7751.953125	-72.514160
7838.085938	-68.973724
7924.218750	-68.365356
8010.351563	-71.267220
8096.484375	-74.837105
8182.617188	-78.845772
8268.750000	-77.891174
8354.882813	-70.098862
8441.015625	-66.355240
8527.148438	-65.027000
8613.281250	-65.552704
8699.414063	-66.404289
8785.546875	-65.095940
8871.679688	-68.420738
8957.812500	-67.262901
9043.945313	-61.014503
9130.078125	-56.142658
9216.210938	-55.058872
9302.343750	-59.185863
9388.476563	-65.914848
9474.609375	-65.630135
9560.742188	-64.864403
9646.875000	-65.790649
9733.007813	-69.139084
9819.140625	-75.672424
9905.273438	-77.409019
9991.406250	-77.904144
10077.539063	-76.986267
10163.671875	-75.127045
10249.804688	-74.980843
10335.937500	-70.822105
10422.070313	-68.220375
10508.203125	-67.598267
10594.335938	-59.934124
10680.468750	-54.602444
10766.601563	-55.081936
10852.734375	-60.714111
10938.867188	-64.766762
11025.000000	-66.745842
11111.132813	-67.837288
11197.265625	-67.126343
11283.398438	-68.446098
11369.531250	-69.157387
11455.664063	-70.210884
11541.796875	-69.022957
11627.929688	-67.193718
11714.062500	-66.858070
11800.195313	-66.071251
11886.328125	-65.305862
11972.460938	-61.971661
12058.593750	-60.016766
12144.726563	-61.986782
12230.859375	-65.430138
12316.992188	-68.231567
12403.125000	-71.229584
12489.257813	-74.378998
12575.390625	-73.355171
12661.523438	-68.878578
12747.656250	-67.639893
12833.789063	-70.120255
12919.921875	-75.406059
13006.054688	-79.864510
13092.187500	-81.259933
13178.320313	-84.665726
13264.453125	-85.010834
13350.585938	-81.515907
13436.718750	-79.812645
13522.851563	-80.457771
13608.984375	-83.342690
13695.117188	-82.028755
13781.250000	-81.433182
13867.382813	-82.516243
