Frequency (Hz)	Level (dB)
86.132813	-64.928093
172.265625	-63.541641
258.398438	-66.167824
344.531250	-68.399231
430.664063	-71.233978
516.796875	-71.740814
602.929688	-72.204681
689.062500	-73.281212
775.195313	-74.951828
861.328125	-77.860260
947.460938	-76.543182
1033.593750	-74.755638
1119.726563	-76.189445
1205.859375	-73.960564
1291.992188	-71.729401
1378.125000	-70.453331
1464.257813	-71.824471
1550.390625	-72.614304
1636.523438	-69.808983
1722.656250	-69.587364
1808.789063	-75.253311
1894.921875	-76.064606
1981.054688	-80.897293
2067.187500	-80.477882
2153.320313	-71.042519
2239.453125	-63.822582
2325.585938	-64.979538
2411.718750	-68.422180
2497.851563	-66.886871
2583.984375	-64.363327
2670.117188	-60.128838
2756.250000	-59.667534
2842.382813	-66.708313
2928.515625	-68.816704
3014.648438	-70.816017
3100.781250	-74.194595
3186.914063	-78.332916
3273.046875	-78.564384
3359.179688	-77.916603
3445.312500	-78.803993
3531.445313	-76.352928
3617.578125	-70.573738
3703.710938	-64.953789
3789.843750	-61.836399
3875.976563	-62.948387
3962.109375	-68.592346
4048.242188	-68.480888
4134.375000	-70.001884
4220.507813	-73.073013
4306.640625	-67.629211
4392.773438	-66.517319
4478.906250	-70.587723
4565.039063	-75.642181
4651.171875	-74.023361
4737.304688	-70.509125
4823.437500	-65.742752
4909.570313	-60.025249
4995.703125	-58.160610
5081.835938	-54.373234
5167.968750	-48.607212
5254.101563	-49.988903
5340.234375	-59.548805
5426.367188	-62.378735
5512.500000	-66.604370
5598.632813	-70.142311
5684.765625	-69.511734
5770.898438	-64.994102
5857.031250	-64.339394
5943.164063	-67.336205
6029.296875	-69.102280
6115.429688	-67.405853
6201.562500	-68.564522
6287.695313	-71.560616
6373.828125	-71.307907
6459.960938	-73.018974
6546.093750	-80.479599
6632.226563	-84.553986
6718.359375	-83.411690
6804.492188	-82.028297
6890.625000	-81.074104
6976.757813	-82.269402
7062.890625	-86.365791
7149.023438	-88.078606
7235.156250	-84.490204
7321.289063	-89.002426
7407.421875	-85.125214
7493.554688	-82.669441
7579.687500	-80.314575
7665.820313	-76.867874
7751.953125	-72.692383
7838.085938	-69.731606
7924.218750	-70.739555
8010.351563	-76.570892
8096.484375	-83.023033
8182.617188	-87.071548
8268.750000	-90.465340
8354.882813	-94.574722
8441.015625	-93.897057
8527.148438	-92.061661
8613.281250	-91.234978
8699.414063	-84.492157
8785.546875	-83.717392
8871.679688	-84.470818
8957.812500	-83.160248
9043.945313	-85.461136
9130.078125	-83.484802
9216.210938	-80.447929
9302.343750	-84.387749
9388.476563	-89.400337
9474.609375	-83.079079
9560.742188	-78.178253
9646.875000	-77.557076
9733.007813	-80.434471
9819.140625	-86.656448
9905.273438	-88.849922
9991.406250	-86.010582
10077.539063	-81.095825
