Frequency (Hz)	Level (dB)
86.132813	-52.141594
172.265625	-54.194885
258.398438	-59.640945
344.531250	-63.357349
430.664063	-64.673645
516.796875	-62.726730
602.929688	-62.096832
689.062500	-63.333004
775.195313	-64.990868
861.328125	-66.510216
947.460938	-67.875351
1033.593750	-63.258591
1119.726563	-58.496479
1205.859375	-57.565086
1291.992188	-58.254417
1378.125000	-60.112896
1464.257813	-63.703644
1550.390625	-65.619858
1636.523438	-67.312729
1722.656250	-63.002071
1808.789063	-58.768726
1894.921875	-60.381447
1981.054688	-61.085560
2067.187500	-52.938690
2153.320313	-50.126011
2239.453125	-53.404903
2325.585938	-63.071945
2411.718750	-66.310921
2497.851563	-71.352974
2583.984375	-69.126648
2670.117188	-61.254509
2756.250000	-58.425529
2842.382813	-58.757347
2928.515625	-60.673805
3014.648438	-64.391068
3100.781250	-71.657623
3186.914063	-75.293648
3273.046875	-70.299751
3359.179688	-63.632736
3445.312500	-64.851128
3531.445313	-68.355804
3617.578125	-62.159645
3703.710938	-60.033455
3789.843750	-56.865509
3875.976563	-51.689690
3962.109375	-52.500294
4048.242188	-61.672668
4134.375000	-50.750507
4220.507813	-45.721668
4306.640625	-48.259171
4392.773438	-57.722404
4478.906250	-61.043102
4565.039063	-60.881165
4651.171875	-58.029720
4737.304688	-57.511208
4823.437500	-57.640648
4909.570313	-55.669617
4995.703125	-46.714466
5081.835938	-42.244347
5167.968750	-43.920528
5254.101563	-49.386055
5340.234375	-56.302147
5426.367188	-63.661903
5512.500000	-67.680069
5598.632813	-64.756630
5684.765625	-67.562729
5770.898438	-66.536148
5857.031250	-65.597595
5943.164063	-63.450863
6029.296875	-63.523651
6115.429688	-67.995125
6201.562500	-64.028473
6287.695313	-56.319595
6373.828125	-56.533089
6459.960938	-63.908524
6546.093750	-65.506454
6632.226563	-63.427746
6718.359375	-64.803894
6804.492188	-69.636047
6890.625000	-71.215622
6976.757813	-71.922417
7062.890625	-72.679001
7149.023438	-74.536919
7235.156250	-69.413414
7321.289063	-64.554932
7407.421875	-61.859619
7493.554688	-64.228500
7579.687500	-69.173210
7665.820313	-78.337723
7751.953125	-71.538612
7838.085938	-68.962212
7924.218750	-68.935547
8010.351563	-66.850479
8096.484375	-65.362297
8182.617188	-65.715874
8268.750000	-67.134094
8354.882813	-68.942986
8441.015625	-72.974167
8527.148438	-77.594727
8613.281250	-78.562851
8699.414063	-79.690582
8785.546875	-79.725517
8871.679688	-80.149261
8957.812500	-79.725815
9043.945313	-75.276260
9130.078125	-67.106194
9216.210938	-61.962757
9302.343750	-58.099098
9388.476563	-58.737617
9474.609375	-63.384438
9560.742188	-66.005203
9646.875000	-68.595871
9733.007813	-72.748901
9819.140625	-71.793503
