Frequency (Hz)	Level (dB)
86.132813	-65.893036
172.265625	-65.317856
258.398438	-67.268433
344.531250	-69.257431
430.664063	-70.939064
516.796875	-71.779243
602.929688	-72.043633
689.062500	-72.851692
775.195313	-74.412735
861.328125	-76.524406
947.460938	-79.030006
1033.593750	-79.644798
1119.726563	-74.749283
1205.859375	-73.155296
1291.992188	-71.382881
1378.125000	-70.297867
1464.257813	-71.659370
1550.390625	-72.420448
1636.523438	-72.773453
1722.656250	-74.463203
1808.789063	-73.976990
1894.921875	-72.137352
1981.054688	-73.053299
2067.187500	-67.533516
2153.320313	-62.820389
2239.453125	-67.047562
2325.585938	-77.554253
2411.718750	-76.211998
2497.851563	-72.735550
2583.984375	-70.153313
2670.117188	-68.919937
2756.250000	-70.962799
2842.382813	-72.633873
2928.515625	-76.178207
3014.648438	-80.255508
3100.781250	-83.029587
3186.914063	-81.639107
3273.046875	-78.098373
3359.179688	-73.474831
3445.312500	-70.037079
3531.445313	-71.314003
3617.578125	-71.202805
3703.710938	-71.150131
3789.843750	-70.335609
3875.976563	-65.710976
3962.109375	-64.629921
4048.242188	-62.981495
4134.375000	-58.278961
4220.507813	-59.203568
4306.640625	-62.790680
4392.773438	-63.088947
4478.906250	-65.643517
4565.039063	-66.299217
4651.171875	-66.560081
4737.304688	-66.217857
4823.437500	-64.152039
4909.570313	-61.418129
4995.703125	-55.900898
5081.835938	-55.024063
5167.968750	-60.184284
5254.101563	-61.691044
5340.234375	-62.178486
5426.367188	-62.997784
5512.500000	-65.021774
5598.632813	-68.345787
5684.765625	-69.011040
5770.898438	-67.569588
5857.031250	-67.389885
5943.164063	-66.918732
6029.296875	-70.395523
6115.429688	-74.489548
6201.562500	-68.247398
6287.695313	-62.090000
6373.828125	-62.647209
6459.960938	-71.957802
6546.093750	-73.835030
6632.226563	-73.925896
6718.359375	-77.287262
6804.492188	-77.081642
6890.625000	-79.402435
6976.757813	-79.876869
7062.890625	-79.904022
7149.023438	-81.057625
7235.156250	-83.103416
7321.289063	-75.983818
7407.421875	-71.634705
7493.554688	-72.310127
7579.687500	-73.237289
7665.820313	-73.535522
7751.953125	-72.613220
7838.085938	-77.238106
7924.218750	-85.294403
8010.351563	-88.532288
8096.484375	-89.933121
8182.617188	-90.222488
8268.750000	-89.131821
8354.882813	-91.214088
8441.015625	-95.687157
8527.148438	-91.682922
8613.281250	-86.836929
8699.414063	-87.415802
8785.546875	-88.231926
8871.679688	-87.320908
8957.812500	-84.995422
9043.945313	-84.151421
9130.078125	-80.863487
9216.210938	-80.342773
9302.343750	-79.442566
9388.476563	-77.793678
9474.609375	-79.341812
9560.742188	-81.348488
9646.875000	-83.733337
9733.007813	-83.435593
9819.140625	-82.184242
9905.273438	-82.630051
9991.406250	-87.340034
10077.539063	-89.910095
10163.671875	-89.451103
10249.804688	-84.957008
10335.937500	-78.748825
10422.070313	-75.653381
10508.203125	-72.923714
10594.335938	-69.925049
10680.468750	-67.223076
10766.601563	-68.415878
10852.734375	-73.260277
10938.867188	-77.634537
11025.000000	-81.007851
11111.132813	-82.735100
11197.265625	-81.613617
11283.398438	-79.531738
11369.531250	-79.988861
11455.664063	-82.591248
11541.796875	-84.554718
11627.929688	-85.370514
11714.062500	-89.170708
11800.195313	-90.451271
11886.328125	-83.659149
11972.460938	-80.862091
12058.593750	-82.809685
12144.726563	-88.231102
12230.859375	-91.965195
12316.992188	-92.622467
12403.125000	-92.988045
12489.257813	-93.474228
12575.390625	-94.190277
12661.523438	-94.768883
12747.656250	-93.947906
12833.789063	-92.887230
12919.921875	-94.449806
13006.054688	-97.665085
13092.187500	-98.283417
13178.320313	-97.443436
13264.453125	-95.629745
13350.585938	-94.101784
13436.718750	-93.758896
13522.851563	-93.812912
13608.984375	-95.386604
13695.117188	-98.725571
13781.250000	-102.238594
13867.382813	-102.887566
13953.515625	-100.430450
14039.648438	-97.360397
14125.781250	-94.859665
14211.914063	-94.233971
14298.046875	-93.382912
14384.179688	-94.675713
14470.312500	-94.867065
14556.445313	-94.103096
14642.578125	-96.178200
14728.710938	-98.466164
14814.843750	-101.231804
14900.976563	-102.315712
14987.109375	-103.131020
15073.242188	-103.151596
15159.375000	-100.922340
15245.507813	-101.949959
15331.640625	-105.616608
15417.773438	-104.256615
15503.906250	-102.222466
15590.039063	-101.154099
15676.171875	-99.661942
15762.304688	-97.745979
15848.437500	-99.400528
15934.570313	-103.248299
16020.703125	-107.218353
16106.835938	-106.533516
16192.968750	-104.334396
16279.101563	-103.663628
16365.234375	-105.664909
16451.367188	-111.345436
16537.500000	-113.013481
16623.632813	-109.733749
16709.765625	-109.153595
16795.898438	-112.044777
16882.031250	-114.524269
16968.164063	-111.676544
17054.296875	-108.953522
17140.429688	-108.174667
17226.562500	-108.926445
17312.695313	-109.781631
17398.828125	-110.620201
17484.960938	-111.418983
17571.093750	-112.171005
17657.226563	-113.345177
17743.359375	-115.131538
17829.492188	-117.378410
17915.625000	-116.459602
18001.757813	-115.021835
18087.890625	-114.016472
18174.023438	-117.059280
18260.156250	-119.553223
18346.289063	-120.098160
18432.421875	-120.140671
18518.554688	-120.408859
18604.687500	-122.323280
18690.820313	-122.497032
18776.953125	-121.781303
18863.085938	-118.231148
18949.218750	-117.965218
19035.351563	-121.176315
19121.484375	-122.270912
19207.617188	-123.736160
19293.750000	-124.213593
19379.882813	-121.573288
19466.015625	-120.770012
19552.148438	-120.646713
19638.281250	-121.859375
19724.414063	-125.377373
19810.546875	-128.149597
19896.679688	-128.135345
19982.812500	-127.862617
20068.945313	-126.370209
20155.078125	-127.283508
20241.210938	-127.272873
20327.343750	-126.744499
20413.476563	-126.530998
20499.609375	-128.545242
20585.742188	-131.544647
20671.875000	-132.242401
20758.007813	-134.183624
20844.140625	-134.190491
20930.273438	-133.850479
21016.406250	-133.892624
21102.539063	-135.603104
21188.671875	-138.607910
21274.804688	-142.657455
21360.937500	-143.232315
21447.070313	-143.229324
21533.203125	-145.575104
21619.335938	-146.859299
21705.468750	-147.774857
21791.601563	-147.318390
21877.734375	-150.034042
21963.867188	-155.467422
