Frequency (Hz)	Level (dB)
86.132813	-53.929211
172.265625	-55.718990
258.398438	-59.935970
344.531250	-61.580227
430.664063	-64.084007
516.796875	-63.904152
602.929688	-62.992317
689.062500	-63.192539
775.195313	-65.063667
861.328125	-68.147461
947.460938	-72.638573
1033.593750	-67.607079
1119.726563	-64.268860
1205.859375	-62.514450
1291.992188	-59.785896
1378.125000	-58.276268
1464.257813	-58.534222
1550.390625	-58.969776
1636.523438	-59.607162
1722.656250	-59.680988
1808.789063	-59.710144
1894.921875	-63.249691
1981.054688	-63.892033
2067.187500	-64.029587
2153.320313	-54.077950
2239.453125	-54.920322
2325.585938	-62.097099
2411.718750	-63.136166
2497.851563	-60.666870
2583.984375	-58.676376
2670.117188	-58.324821
2756.250000	-58.018822
2842.382813	-58.065681
2928.515625	-61.725845
3014.648438	-66.815887
3100.781250	-69.104744
3186.914063	-68.069046
3273.046875	-65.082344
3359.179688	-58.474983
3445.312500	-54.700493
3531.445313	-57.091984
3617.578125	-60.232830
3703.710938	-60.948402
3789.843750	-63.376442
3875.976563	-64.873123
3962.109375	-64.014870
4048.242188	-59.779785
4134.375000	-49.588066
4220.507813	-48.590996
4306.640625	-56.362270
4392.773438	-58.061436
4478.906250	-64.030243
4565.039063	-66.428780
4651.171875	-64.720612
4737.304688	-62.196606
4823.437500	-61.653431
4909.570313	-59.382885
4995.703125	-53.858109
5081.835938	-53.247707
5167.968750	-57.791889
5254.101563	-55.362736
5340.234375	-54.939922
5426.367188	-60.528843
5512.500000	-66.483795
5598.632813	-66.003731
5684.765625	-62.349121
5770.898438	-64.161430
5857.031250	-69.865555
5943.164063	-69.397301
6029.296875	-64.418251
6115.429688	-64.514572
6201.562500	-58.507450
6287.695313	-50.418316
6373.828125	-51.259365
6459.960938	-60.247002
6546.093750	-62.576214
6632.226563	-67.316452
6718.359375	-70.738548
6804.492188	-72.225616
6890.625000	-69.567314
6976.757813	-70.721100
7062.890625	-70.011986
7149.023438	-70.158730
7235.156250	-68.029152
7321.289063	-62.850735
7407.421875	-60.354889
7493.554688	-64.414040
7579.687500	-69.037811
