Frequency (Hz)	Level (dB)
86.132813	-52.367142
172.265625	-54.138248
258.398438	-59.296585
344.531250	-63.064682
430.664063	-60.685059
516.796875	-60.698521
602.929688	-61.932617
689.062500	-63.289330
775.195313	-64.641037
861.328125	-66.228394
947.460938	-66.636948
1033.593750	-63.543541
1119.726563	-59.971088
1205.859375	-58.890827
1291.992188	-59.639084
1378.125000	-61.036285
1464.257813	-63.782085
1550.390625	-68.768509
1636.523438	-67.835266
1722.656250	-65.373253
1808.789063	-64.791222
1894.921875	-65.131767
1981.054688	-62.828716
2067.187500	-60.696671
2153.320313	-60.592190
2239.453125	-61.916103
2325.585938	-64.491020
2411.718750	-68.192940
2497.851563	-69.223846
2583.984375	-65.242393
2670.117188	-63.367672
2756.250000	-62.217155
2842.382813	-62.530354
2928.515625	-63.737766
3014.648438	-65.519150
3100.781250	-72.751907
3186.914063	-71.891342
3273.046875	-68.270546
3359.179688	-64.580719
3445.312500	-61.867077
3531.445313	-63.652607
3617.578125	-65.706413
3703.710938	-61.633907
3789.843750	-59.471027
3875.976563	-61.714447
3962.109375	-66.591171
4048.242188	-69.180885
4134.375000	-66.127907
4220.507813	-64.273209
4306.640625	-63.799629
4392.773438	-66.364769
4478.906250	-66.692802
4565.039063	-64.712624
4651.171875	-66.585190
4737.304688	-66.166710
4823.437500	-62.953751
4909.570313	-57.706577
4995.703125	-48.485954
5081.835938	-44.306896
5167.968750	-45.592869
5254.101563	-50.596779
5340.234375	-55.659195
5426.367188	-59.681381
5512.500000	-63.952606
5598.632813	-62.191929
5684.765625	-60.812187
5770.898438	-63.132244
5857.031250	-66.742050
5943.164063	-62.736984
6029.296875	-60.111019
6115.429688	-60.835033
6201.562500	-63.098312
6287.695313	-65.334030
6373.828125	-68.975777
6459.960938	-67.484200
6546.093750	-69.321152
6632.226563	-71.384346
6718.359375	-73.619476
6804.492188	-79.031296
6890.625000	-87.484787
6976.757813	-86.703079
7062.890625	-81.720024
7149.023438	-79.218536
7235.156250	-80.243866
7321.289063	-85.553375
7407.421875	-85.340179
7493.554688	-77.786285
7579.687500	-77.158142
7665.820313	-79.971794
7751.953125	-74.811607
7838.085938	-77.295036
7924.218750	-76.066483
8010.351563	-72.769753
8096.484375	-71.478897
8182.617188	-68.659622
8268.750000	-68.146011
8354.882813	-71.619820
8441.015625	-81.797173
8527.148438	-80.609428
8613.281250	-77.834267
8699.414063	-77.645630
8785.546875	-79.534042
8871.679688	-83.684151
8957.812500	-81.403313
9043.945313	-81.299004
9130.078125	-76.421120
9216.210938	-72.136719
9302.343750	-69.967537
9388.476563	-70.549316
9474.609375	-73.127922
9560.742188	-78.373817
9646.875000	-83.841042
9733.007813	-81.530602
9819.140625	-81.693260
9905.273438	-87.403618
9991.406250	-85.124512
10077.539063	-80.684845
10163.671875	-81.131577
10249.804688	-84.313843
10335.937500	-76.533539
10422.070313	-71.866753
10508.203125	-69.782806
10594.335938	-66.836876
10680.468750	-64.398857
10766.601563	-65.373039
10852.734375	-70.238014
10938.867188	-77.883835
11025.000000	-83.770790
11111.132813	-85.451851
11197.265625	-79.822067
11283.398438	-74.176750
11369.531250	-75.327423
11455.664063	-83.276352
