Frequency (Hz)	Level (dB)
86.132813	-66.804306
172.265625	-66.325409
258.398438	-68.611069
344.531250	-72.282234
430.664063	-71.045036
516.796875	-71.984764
602.929688	-72.833076
689.062500	-74.094910
775.195313	-75.886795
861.328125	-77.090820
947.460938	-73.660042
1033.593750	-68.049286
1119.726563	-67.407806
1205.859375	-68.387024
1291.992188	-67.089165
1378.125000	-67.479790
1464.257813	-69.940796
1550.390625	-71.170677
1636.523438	-74.513634
1722.656250	-76.792564
1808.789063	-70.243774
1894.921875	-68.689857
1981.054688	-64.317863
2067.187500	-61.979675
2153.320313	-63.326305
2239.453125	-66.064278
2325.585938	-69.985085
2411.718750	-74.686508
2497.851563	-75.453583
2583.984375	-71.522850
2670.117188	-68.165260
2756.250000	-65.300133
2842.382813	-61.133938
2928.515625	-63.759373
3014.648438	-75.811920
3100.781250	-82.594353
3186.914063	-83.602341
3273.046875	-81.885841
3359.179688	-72.739159
3445.312500	-68.660957
3531.445313	-70.361938
3617.578125	-76.996292
3703.710938	-75.186142
3789.843750	-70.376701
3875.976563	-64.185959
3962.109375	-62.988712
4048.242188	-65.622406
4134.375000	-67.434029
4220.507813	-68.211510
4306.640625	-67.051994
4392.773438	-68.393982
4478.906250	-72.711411
4565.039063	-70.429276
4651.171875	-68.744476
4737.304688	-67.928284
4823.437500	-66.269165
4909.570313	-64.040276
4995.703125	-58.884186
5081.835938	-56.400726
5167.968750	-59.310474
5254.101563	-59.794376
5340.234375	-61.408516
5426.367188	-65.676384
5512.500000	-69.900734
5598.632813	-69.680428
5684.765625	-67.215546
5770.898438	-65.220001
5857.031250	-65.946472
5943.164063	-65.677650
6029.296875	-62.783943
6115.429688	-63.122272
6201.562500	-67.393219
6287.695313	-69.113007
6373.828125	-72.296387
6459.960938	-72.870193
6546.093750	-75.845940
6632.226563	-81.297287
6718.359375	-74.190849
6804.492188	-74.768959
6890.625000	-79.828598
6976.757813	-83.599075
7062.890625	-87.562202
7149.023438	-92.319107
7235.156250	-94.545853
7321.289063	-94.126472
7407.421875	-93.004692
7493.554688	-90.496109
7579.687500	-86.699173
7665.820313	-87.559998
7751.953125	-82.048393
7838.085938	-79.959076
7924.218750	-81.843559
8010.351563	-82.919853
8096.484375	-81.197548
8182.617188	-80.174934
8268.750000	-83.029129
8354.882813	-91.132172
8441.015625	-95.776024
8527.148438	-94.824394
8613.281250	-96.775719
8699.414063	-97.621361
8785.546875	-95.487762
8871.679688	-94.015839
8957.812500	-93.370995
9043.945313	-95.740349
9130.078125	-92.189026
9216.210938	-86.459312
9302.343750	-82.530266
9388.476563	-80.279625
9474.609375	-78.651672
9560.742188	-79.241707
9646.875000	-79.737801
9733.007813	-77.529808
9819.140625	-77.102509
9905.273438	-78.383598
9991.406250	-79.374023
10077.539063	-79.677162
10163.671875	-79.899963
10249.804688	-77.559669
10335.937500	-75.946037
10422.070313	-75.343788
10508.203125	-73.561684
10594.335938	-71.241776
10680.468750	-67.575371
10766.601563	-68.566956
10852.734375	-74.597984
10938.867188	-79.169449
11025.000000	-80.835518
11111.132813	-82.159393
11197.265625	-84.347603
11283.398438	-82.044128
11369.531250	-84.390526
11455.664063	-90.173096
11541.796875	-90.768150
11627.929688	-91.968239
11714.062500	-92.861481
11800.195313	-86.405273
11886.328125	-81.977097
11972.460938	-83.106384
12058.593750	-89.659111
12144.726563	-96.679077
12230.859375	-95.457016
12316.992188	-101.173264
12403.125000	-98.503845
12489.257813	-97.933037
12575.390625	-97.460663
12661.523438	-101.576225
12747.656250	-98.678345
12833.789063	-94.384369
12919.921875	-91.215363
13006.054688	-91.951874
13092.187500	-95.506920
13178.320313	-96.852875
13264.453125	-95.852684
13350.585938	-94.209778
13436.718750	-91.676125
13522.851563	-91.469154
13608.984375	-93.644844
13695.117188	-94.725426
13781.250000	-94.763947
13867.382813	-97.995766
13953.515625	-99.567177
14039.648438	-99.981293
14125.781250	-97.411858
14211.914063	-95.403885
14298.046875	-95.738770
14384.179688	-95.512482
14470.312500	-95.221130
14556.445313	-95.416985
14642.578125	-97.230026
14728.710938	-98.915665
14814.843750	-95.509995
14900.976563	-95.749695
14987.109375	-97.452530
15073.242188	-92.262085
15159.375000	-91.080650
15245.507813	-91.942307
15331.640625	-90.277107
15417.773438	-90.526489
15503.906250	-91.293915
15590.039063	-91.695198
15676.171875	-90.699944
15762.304688	-89.422546
15848.437500	-91.933121
15934.570313	-98.734612
16020.703125	-103.481407
16106.835938	-102.310020
16192.968750	-103.894928
16279.101563	-106.566353
16365.234375	-106.085640
16451.367188	-106.710846
16537.500000	-105.885170
16623.632813	-106.926048
16709.765625	-106.533432
16795.898438	-105.382271
16882.031250	-103.599449
16968.164063	-102.877739
17054.296875	-103.970055
17140.429688	-105.955132
17226.562500	-108.271935
17312.695313	-110.264778
17398.828125	-111.132133
17484.960938	-114.242500
17571.093750	-115.059395
17657.226563	-116.330383
17743.359375	-113.542473
17829.492188	-109.541954
17915.625000	-107.697937
18001.757813	-108.910889
18087.890625	-109.071671
18174.023438	-110.549423
18260.156250	-111.972939
18346.289063	-112.595024
18432.421875	-115.282257
18518.554688	-116.309334
18604.687500	-115.813835
18690.820313	-118.398071
18776.953125	-116.077698
18863.085938	-115.726738
18949.218750	-116.855072
19035.351563	-114.882866
19121.484375	-114.475258
19207.617188	-114.454773
19293.750000	-113.113358
19379.882813	-111.276741
19466.015625	-110.538231
19552.148438	-111.812019
19638.281250	-113.824150
19724.414063	-115.394905
19810.546875	-117.601784
19896.679688	-118.250801
19982.812500	-119.394722
20068.945313	-123.271317
20155.078125	-123.861244
20241.210938	-124.207291
20327.343750	-126.402596
20413.476563	-126.197624
20499.609375	-124.468735
20585.742188	-126.063065
20671.875000	-127.095047
20758.007813	-125.820305
20844.140625	-128.961914
20930.273438	-133.631927
21016.406250	-134.397278
21102.539063	-136.095581
21188.671875	-136.827194
21274.804688	-140.260315
21360.937500	-143.236908
21447.070313	-144.411270
21533.203125	-144.117401
21619.335938	-146.259659
21705.468750	-148.572403
21791.601563	-148.881973
21877.734375	-149.407928
21963.867188	-151.495255
