Frequency (Hz)	Level (dB)
86.132813	-54.708252
172.265625	-56.221546
258.398438	-60.677574
344.531250	-63.326675
430.664063	-60.099800
516.796875	-60.260880
602.929688	-60.298923
689.062500	-61.315022
775.195313	-63.103851
861.328125	-63.713017
947.460938	-60.609093
1033.593750	-57.060455
1119.726563	-56.154770
1205.859375	-56.321854
1291.992188	-56.235168
1378.125000	-56.244625
1464.257813	-56.702389
1550.390625	-58.207062
1636.523438	-62.550556
1722.656250	-69.709236
1808.789063	-65.889671
1894.921875	-62.237354
1981.054688	-57.100803
2067.187500	-54.342159
2153.320313	-54.490276
2239.453125	-57.091293
2325.585938	-61.065887
2411.718750	-66.495476
2497.851563	-67.249718
2583.984375	-61.680305
2670.117188	-58.729080
2756.250000	-54.957863
2842.382813	-51.381973
2928.515625	-52.519402
3014.648438	-58.612480
3100.781250	-62.745998
3186.914063	-64.487061
3273.046875	-63.654060
3359.179688	-57.390697
3445.312500	-55.483356
3531.445313	-58.462219
3617.578125	-63.637280
3703.710938	-66.376457
3789.843750	-61.411236
3875.976563	-57.823502
3962.109375	-58.196312
4048.242188	-61.483021
4134.375000	-63.957355
4220.507813	-59.543766
4306.640625	-62.037731
4392.773438	-64.701195
4478.906250	-67.711731
4565.039063	-70.476318
4651.171875	-64.085899
4737.304688	-63.321785
4823.437500	-63.554832
4909.570313	-61.212063
4995.703125	-55.492035
5081.835938	-51.513798
5167.968750	-51.943623
5254.101563	-53.928963
5340.234375	-56.654434
5426.367188	-64.192535
5512.500000	-64.828529
5598.632813	-67.432922
5684.765625	-73.050636
5770.898438	-67.113159
5857.031250	-68.972702
5943.164063	-63.112457
6029.296875	-59.650311
6115.429688	-59.044571
6201.562500	-59.694187
6287.695313	-61.916203
6373.828125	-65.608406
6459.960938	-66.713356
6546.093750	-66.057655
6632.226563	-67.190773
6718.359375	-69.340042
6804.492188	-71.334236
6890.625000	-73.800713
6976.757813	-74.530190
7062.890625	-73.748672
7149.023438	-71.836029
7235.156250	-72.512962
7321.289063	-74.019241
7407.421875	-71.511963
7493.554688	-66.454208
7579.687500	-63.897842
7665.820313	-64.306023
7751.953125	-66.846741
7838.085938	-71.602432
7924.218750	-75.549149
8010.351563	-75.555214
8096.484375	-72.929359
8182.617188	-69.847748
8268.750000	-69.038757
8354.882813	-70.284470
8441.015625	-75.481880
8527.148438	-81.436249
8613.281250	-76.341652
8699.414063	-71.850639
8785.546875	-69.785637
8871.679688	-71.274437
8957.812500	-74.321274
9043.945313	-79.788818
9130.078125	-81.805931
9216.210938	-74.906502
9302.343750	-72.101097
9388.476563	-74.174339
9474.609375	-80.553902
9560.742188	-76.511475
9646.875000	-73.115974
9733.007813	-75.338669
9819.140625	-78.717529
9905.273438	-79.332253
9991.406250	-83.852097
10077.539063	-79.461647
10163.671875	-77.431358
10249.804688	-74.906799
10335.937500	-67.896118
10422.070313	-64.381561
10508.203125	-62.949032
10594.335938	-60.711525
10680.468750	-58.929329
10766.601563	-60.610275
10852.734375	-65.793793
10938.867188	-69.510178
11025.000000	-71.550682
11111.132813	-75.887642
11197.265625	-80.814949
11283.398438	-84.201286
11369.531250	-88.290550
11455.664063	-81.203995
11541.796875	-80.859329
11627.929688	-81.071442
11714.062500	-77.591331
11800.195313	-72.934593
11886.328125	-71.124359
11972.460938	-74.095024
12058.593750	-74.411133
12144.726563	-71.390617
12230.859375	-73.081116
12316.992188	-77.880783
12403.125000	-78.732605
12489.257813	-77.029068
12575.390625	-76.707664
12661.523438	-75.981766
12747.656250	-75.881767
12833.789063	-78.664925
12919.921875	-84.108513
13006.054688	-81.959038
13092.187500	-81.563087
13178.320313	-82.251312
13264.453125	-77.862465
13350.585938	-74.490143
13436.718750	-73.436340
13522.851563	-75.243965
13608.984375	-80.037567
13695.117188	-86.391479
13781.250000	-89.641365
13867.382813	-88.414688
13953.515625	-92.135750
14039.648438	-94.510765
14125.781250	-93.042374
14211.914063	-94.837296
14298.046875	-85.017326
14384.179688	-80.055084
14470.312500	-78.375122
14556.445313	-78.225266
14642.578125	-78.480980
14728.710938	-77.874672
14814.843750	-76.774750
14900.976563	-79.285248
14987.109375	-91.135811
15073.242188	-80.870789
15159.375000	-77.289009
15245.507813	-75.581970
15331.640625	-72.586815
