Frequency (Hz)	Level (dB)
86.132813	-46.222992
172.265625	-48.849758
258.398438	-53.632408
344.531250	-56.572701
430.664063	-57.246452
516.796875	-57.459866
602.929688	-58.357609
689.062500	-60.400761
775.195313	-61.845318
861.328125	-62.964359
947.460938	-65.898918
1033.593750	-68.615364
1119.726563	-63.394241
1205.859375	-60.426022
1291.992188	-61.046967
1378.125000	-66.608467
1464.257813	-56.278805
1550.390625	-55.882576
1636.523438	-59.220715
1722.656250	-58.353607
1808.789063	-56.530411
1894.921875	-59.372227
1981.054688	-58.435627
2067.187500	-52.396172
2153.320313	-54.743732
2239.453125	-61.796940
2325.585938	-68.536995
2411.718750	-69.067139
2497.851563	-65.453430
2583.984375	-62.667385
2670.117188	-62.903091
2756.250000	-68.286850
2842.382813	-65.014381
2928.515625	-63.416611
3014.648438	-69.669724
3100.781250	-72.492081
3186.914063	-67.535950
3273.046875	-67.349648
3359.179688	-61.233635
3445.312500	-52.777504
3531.445313	-50.602592
3617.578125	-56.178123
3703.710938	-60.398571
3789.843750	-60.696041
3875.976563	-58.664501
3962.109375	-52.118595
4048.242188	-51.918110
4134.375000	-55.517284
4220.507813	-57.525486
4306.640625	-62.624866
4392.773438	-65.301323
4478.906250	-61.693531
4565.039063	-61.255360
4651.171875	-64.642899
4737.304688	-66.431183
4823.437500	-61.808495
4909.570313	-65.579414
4995.703125	-61.432148
5081.835938	-50.705711
5167.968750	-48.871265
5254.101563	-54.017918
5340.234375	-56.614803
5426.367188	-50.194485
5512.500000	-49.704079
5598.632813	-53.727291
5684.765625	-50.027451
5770.898438	-49.107422
5857.031250	-45.828655
5943.164063	-39.531979
6029.296875	-39.893196
6115.429688	-48.771690
6201.562500	-59.797138
6287.695313	-64.492325
6373.828125	-63.727280
6459.960938	-64.764633
6546.093750	-71.690147
6632.226563	-77.322723
6718.359375	-71.981125
6804.492188	-73.035217
6890.625000	-76.219131
6976.757813	-72.118210
7062.890625	-74.055450
7149.023438	-76.201263
7235.156250	-76.440170
7321.289063	-75.689606
7407.421875	-74.642761
7493.554688	-70.705109
7579.687500	-64.117966
7665.820313	-63.928581
7751.953125	-70.700294
7838.085938	-67.632401
7924.218750	-65.453568
8010.351563	-66.674911
8096.484375	-68.664063
8182.617188	-74.764137
8268.750000	-73.735535
8354.882813	-73.576347
8441.015625	-69.551239
8527.148438	-69.604347
8613.281250	-70.371925
8699.414063	-74.124825
8785.546875	-74.202370
8871.679688	-69.407669
8957.812500	-66.198204
9043.945313	-66.553734
9130.078125	-67.504311
9216.210938	-65.576065
9302.343750	-66.726929
9388.476563	-73.116165
9474.609375	-74.312355
9560.742188	-70.581306
9646.875000	-71.336075
9733.007813	-76.751099
9819.140625	-77.585495
9905.273438	-74.143127
9991.406250	-74.073097
10077.539063	-76.763474
10163.671875	-79.629837
10249.804688	-75.306366
10335.937500	-69.344139
10422.070313	-66.776459
10508.203125	-67.731529
10594.335938	-69.400513
10680.468750	-71.865211
10766.601563	-79.783867
10852.734375	-85.538254
10938.867188	-87.164063
11025.000000	-87.282936
11111.132813	-82.860611
11197.265625	-82.393478
11283.398438	-86.184685
11369.531250	-85.055573
11455.664063	-80.636925
11541.796875	-79.381645
11627.929688	-78.105103
11714.062500	-78.271576
11800.195313	-83.610947
11886.328125	-79.952080
11972.460938	-75.975960
12058.593750	-71.569183
12144.726563	-65.701698
12230.859375	-65.232597
12316.992188	-70.614029
12403.125000	-77.764153
12489.257813	-83.945251
12575.390625	-88.854309
12661.523438	-84.968353
12747.656250	-82.952507
12833.789063	-83.799133
12919.921875	-88.302399
13006.054688	-93.493958
13092.187500	-92.966446
13178.320313	-88.495018
13264.453125	-89.138298
13350.585938	-88.828094
13436.718750	-88.770485
13522.851563	-91.342560
13608.984375	-92.443001
13695.117188	-92.474319
13781.250000	-91.500183
13867.382813	-89.471565
13953.515625	-85.689865
14039.648438	-86.283394
14125.781250	-88.786446
14211.914063	-91.568581
14298.046875	-84.900581
14384.179688	-83.471840
14470.312500	-79.847115
14556.445313	-78.165924
14642.578125	-74.644821
14728.710938	-74.856468
14814.843750	-80.155548
14900.976563	-76.940681
14987.109375	-77.119034
15073.242188	-80.494247
15159.375000	-78.499023
15245.507813	-77.245758
15331.640625	-80.121216
15417.773438	-86.988174
15503.906250	-94.164742
15590.039063	-92.242035
15676.171875	-91.730034
15762.304688	-85.965034
15848.437500	-84.797394
15934.570313	-84.366127
16020.703125	-83.498100
16106.835938	-82.533569
16192.968750	-82.879005
16279.101563	-85.019852
16365.234375	-85.149719
16451.367188	-87.363617
16537.500000	-86.875397
16623.632813	-87.246056
16709.765625	-86.855064
16795.898438	-86.541176
16882.031250	-89.148354
16968.164063	-92.332527
17054.296875	-89.103912
17140.429688	-88.689919
17226.562500	-88.199409
17312.695313	-88.351601
17398.828125	-87.386124
17484.960938	-85.330269
17571.093750	-84.098518
17657.226563	-83.994881
17743.359375	-82.627762
17829.492188	-82.877678
17915.625000	-83.603333
18001.757813	-80.389992
18087.890625	-77.042793
18174.023438	-74.846786
18260.156250	-75.810036
18346.289063	-79.108810
18432.421875	-82.152229
18518.554688	-87.206268
18604.687500	-91.009010
18690.820313	-95.537086
18776.953125	-96.304131
18863.085938	-94.596603
18949.218750	-96.379318
19035.351563	-92.774612
19121.484375	-87.966507
19207.617188	-85.581505
19293.750000	-84.042793
19379.882813	-83.918808
19466.015625	-85.547577
19552.148438	-88.987389
19638.281250	-95.239410
19724.414063	-100.117844
19810.546875	-97.692711
19896.679688	-100.510254
19982.812500	-106.439232
20068.945313	-103.606506
20155.078125	-103.294350
20241.210938	-107.446503
20327.343750	-108.883415
20413.476563	-105.434929
20499.609375	-107.033501
20585.742188	-114.753960
20671.875000	-112.956116
20758.007813	-112.789886
20844.140625	-119.316246
20930.273438	-116.601921
21016.406250	-121.227745
21102.539063	-126.082352
21188.671875	-121.121262
21274.804688	-116.807999
21360.937500	-117.381447
21447.070313	-125.043716
21533.203125	-129.219894
21619.335938	-131.446350
21705.468750	-134.513565
21791.601563	-127.333771
21877.734375	-128.087311
21963.867188	-135.898849
