Frequency (Hz)	Level (dB)
86.132813	-61.362518
172.265625	-57.057537
258.398438	-57.305298
344.531250	-59.294456
430.664063	-61.598133
516.796875	-62.990410
602.929688	-64.004593
689.062500	-65.406197
775.195313	-67.204124
861.328125	-69.737503
947.460938	-75.107330
1033.593750	-74.778877
1119.726563	-70.515327
1205.859375	-67.883484
1291.992188	-67.982788
1378.125000	-71.969467
1464.257813	-68.166267
1550.390625	-66.981377
1636.523438	-67.753311
1722.656250	-71.044235
1808.789063	-74.313942
1894.921875	-65.762070
1981.054688	-61.286407
2067.187500	-63.940243
2153.320313	-69.454834
2239.453125	-74.923286
2325.585938	-78.270020
2411.718750	-70.712662
2497.851563	-67.994194
2583.984375	-67.004868
2670.117188	-67.657257
2756.250000	-71.228493
2842.382813	-67.698418
2928.515625	-67.594841
3014.648438	-71.958168
3100.781250	-71.339745
3186.914063	-69.640686
3273.046875	-68.517586
3359.179688	-67.081879
3445.312500	-65.276657
3531.445313	-64.394608
3617.578125	-69.239746
3703.710938	-73.686470
3789.843750	-67.125145
3875.976563	-60.545998
3962.109375	-56.780659
4048.242188	-60.211834
4134.375000	-64.252396
4220.507813	-67.528275
4306.640625	-69.090736
4392.773438	-69.683678
4478.906250	-72.779221
4565.039063	-78.467911
4651.171875	-80.513123
4737.304688	-79.329651
4823.437500	-76.680862
4909.570313	-73.437531
4995.703125	-71.223244
5081.835938	-69.825020
5167.968750	-70.659920
5254.101563	-70.805862
5340.234375	-69.062576
5426.367188	-67.277046
5512.500000	-69.481949
5598.632813	-72.814270
5684.765625	-71.876358
5770.898438	-70.128998
5857.031250	-64.863991
5943.164063	-59.418137
6029.296875	-58.626915
6115.429688	-63.915619
6201.562500	-71.181793
6287.695313	-79.165436
6373.828125	-80.355713
6459.960938	-80.371880
6546.093750	-79.853981
6632.226563	-79.889641
6718.359375	-80.262001
6804.492188	-82.027458
6890.625000	-83.854256
6976.757813	-85.762306
7062.890625	-77.513123
7149.023438	-73.648773
7235.156250	-73.030823
7321.289063	-75.390236
7407.421875	-79.936409
7493.554688	-84.820084
7579.687500	-79.180092
7665.820313	-74.342400
7751.953125	-72.340401
7838.085938	-72.051018
7924.218750	-74.121124
8010.351563	-78.243210
8096.484375	-80.986740
8182.617188	-83.019669
8268.750000	-88.302887
8354.882813	-88.487892
8441.015625	-86.704956
8527.148438	-82.281265
8613.281250	-78.997864
8699.414063	-79.159119
8785.546875	-83.209358
8871.679688	-88.210144
8957.812500	-88.541168
9043.945313	-88.868591
9130.078125	-88.912956
9216.210938	-88.227852
9302.343750	-88.078087
9388.476563	-90.145317
