Frequency (Hz)	Level (dB)
86.132813	-54.861500
172.265625	-55.148602
258.398438	-56.231297
344.531250	-57.656582
430.664063	-58.517761
516.796875	-58.543755
602.929688	-58.915459
689.062500	-60.222813
775.195313	-61.868294
861.328125	-64.167496
947.460938	-70.105652
1033.593750	-68.421288
1119.726563	-64.174782
1205.859375	-62.069641
1291.992188	-62.177990
1378.125000	-66.219009
1464.257813	-64.532326
1550.390625	-64.163811
1636.523438	-66.254150
1722.656250	-66.152008
1808.789063	-65.032097
1894.921875	-60.757759
1981.054688	-54.820999
2067.187500	-53.560463
2153.320313	-57.001877
2239.453125	-64.321175
2325.585938	-63.862568
2411.718750	-60.138622
2497.851563	-58.393066
2583.984375	-57.478523
2670.117188	-56.672840
2756.250000	-56.322803
2842.382813	-56.273518
2928.515625	-58.635910
3014.648438	-64.108002
3100.781250	-63.834839
3186.914063	-62.994133
3273.046875	-63.128387
3359.179688	-62.431248
3445.312500	-60.700642
3531.445313	-61.612976
3617.578125	-65.684425
3703.710938	-66.290527
3789.843750	-66.730377
3875.976563	-67.511444
3962.109375	-59.760258
4048.242188	-57.491798
4134.375000	-56.932438
4220.507813	-58.479984
4306.640625	-59.019699
4392.773438	-55.785023
4478.906250	-55.454048
4565.039063	-59.477528
4651.171875	-64.455742
4737.304688	-67.457726
4823.437500	-67.936745
4909.570313	-67.172165
4995.703125	-65.410995
5081.835938	-63.258560
5167.968750	-63.083340
5254.101563	-65.011543
5340.234375	-62.123264
5426.367188	-59.769066
5512.500000	-61.163429
5598.632813	-63.871853
5684.765625	-65.402336
5770.898438	-69.239105
5857.031250	-74.518806
5943.164063	-60.260666
6029.296875	-58.702984
6115.429688	-66.066284
6201.562500	-70.938522
6287.695313	-70.417801
6373.828125	-70.702827
6459.960938	-72.099129
6546.093750	-74.945274
6632.226563	-76.437515
6718.359375	-74.888992
6804.492188	-70.267220
6890.625000	-66.518288
6976.757813	-65.320053
7062.890625	-66.600792
7149.023438	-67.850731
7235.156250	-66.690025
7321.289063	-66.632217
7407.421875	-63.790474
7493.554688	-60.935158
7579.687500	-60.305973
7665.820313	-60.553394
7751.953125	-60.281090
7838.085938	-61.327255
7924.218750	-62.549774
8010.351563	-62.275509
8096.484375	-63.024471
8182.617188	-64.608719
8268.750000	-65.467529
8354.882813	-67.150810
8441.015625	-70.408394
8527.148438	-72.070724
8613.281250	-70.007828
8699.414063	-68.422203
8785.546875	-67.928581
8871.679688	-67.455887
8957.812500	-66.690872
9043.945313	-67.046524
9130.078125	-70.210228
9216.210938	-73.855881
9302.343750	-72.770630
9388.476563	-74.439178
9474.609375	-79.219307
9560.742188	-80.019951
9646.875000	-75.251251
9733.007813	-73.818031
9819.140625	-75.524170
9905.273438	-77.931427
9991.406250	-80.204460
10077.539063	-82.402733
10163.671875	-81.951752
10249.804688	-81.663109
10335.937500	-79.899384
10422.070313	-79.786560
10508.203125	-84.862808
10594.335938	-80.116066
10680.468750	-76.673508
10766.601563	-76.975830
10852.734375	-78.783752
10938.867188	-80.588524
11025.000000	-82.166435
11111.132813	-81.716110
11197.265625	-80.083435
11283.398438	-78.116875
11369.531250	-77.187386
