Frequency (Hz)	Level (dB)
86.132813	-54.426834
172.265625	-57.718090
258.398438	-59.622734
344.531250	-61.309086
430.664063	-61.851906
516.796875	-61.411133
602.929688	-61.282116
689.062500	-63.202980
775.195313	-65.187500
861.328125	-68.843468
947.460938	-72.394508
1033.593750	-73.401070
1119.726563	-66.615372
1205.859375	-62.802376
1291.992188	-61.428650
1378.125000	-63.875408
1464.257813	-65.774124
1550.390625	-65.406265
1636.523438	-66.602531
1722.656250	-65.785004
1808.789063	-66.836021
1894.921875	-75.742599
1981.054688	-61.716774
2067.187500	-57.832722
2153.320313	-58.441578
2239.453125	-60.710442
2325.585938	-62.289967
2411.718750	-64.037735
2497.851563	-63.372734
2583.984375	-62.251369
2670.117188	-62.020077
2756.250000	-63.036552
2842.382813	-65.225105
2928.515625	-67.210640
3014.648438	-68.970085
3100.781250	-68.663475
3186.914063	-67.829697
3273.046875	-70.603500
3359.179688	-75.687813
3445.312500	-68.008209
3531.445313	-66.020172
3617.578125	-70.475464
3703.710938	-72.637154
3789.843750	-73.061363
3875.976563	-69.437080
3962.109375	-64.102715
4048.242188	-62.027546
4134.375000	-63.265041
4220.507813	-66.732399
4306.640625	-70.599617
4392.773438	-75.330467
4478.906250	-78.842911
4565.039063	-76.902061
4651.171875	-82.024300
4737.304688	-79.635658
4823.437500	-74.397522
4909.570313	-71.230721
4995.703125	-69.250633
5081.835938	-70.585320
5167.968750	-72.516762
5254.101563	-71.764603
5340.234375	-70.725464
5426.367188	-67.291016
5512.500000	-66.908249
5598.632813	-71.576775
5684.765625	-81.738182
5770.898438	-71.616447
5857.031250	-63.667374
5943.164063	-57.111595
6029.296875	-56.689720
6115.429688	-63.731907
6201.562500	-72.752113
6287.695313	-75.615952
6373.828125	-72.329636
6459.960938	-70.700996
6546.093750	-72.105865
6632.226563	-75.812881
6718.359375	-77.836006
6804.492188	-74.690018
6890.625000	-71.422005
6976.757813	-70.005051
7062.890625	-68.972046
7149.023438	-67.576851
7235.156250	-66.371391
7321.289063	-65.482513
7407.421875	-63.781063
7493.554688	-63.399292
7579.687500	-66.315918
7665.820313	-73.376160
7751.953125	-72.915985
7838.085938	-70.557899
7924.218750	-69.675743
8010.351563	-70.605026
8096.484375	-75.153221
8182.617188	-73.799095
8268.750000	-68.932747
8354.882813	-68.221611
8441.015625	-71.175911
8527.148438	-76.682686
8613.281250	-81.706276
8699.414063	-79.104721
8785.546875	-74.322472
8871.679688	-71.193062
8957.812500	-71.378105
9043.945313	-74.760902
9130.078125	-79.067863
9216.210938	-80.604500
9302.343750	-77.258392
9388.476563	-79.493683
9474.609375	-78.997749
9560.742188	-79.285912
9646.875000	-80.683044
9733.007813	-87.102692
9819.140625	-85.964439
9905.273438	-83.296860
9991.406250	-83.064270
10077.539063	-86.700661
10163.671875	-84.986969
10249.804688	-82.254433
10335.937500	-79.969063
10422.070313	-78.582962
10508.203125	-76.887505
10594.335938	-73.125908
10680.468750	-70.669792
10766.601563	-70.588554
10852.734375	-71.676430
10938.867188	-74.628548
11025.000000	-76.269585
11111.132813	-75.907394
11197.265625	-76.006348
11283.398438	-79.093063
11369.531250	-85.739410
11455.664063	-79.207771
11541.796875	-82.072266
11627.929688	-80.070007
11714.062500	-74.909111
11800.195313	-74.583214
11886.328125	-72.869690
11972.460938	-71.173042
12058.593750	-72.185844
12144.726563	-68.502846
12230.859375	-66.579636
12316.992188	-69.751251
12403.125000	-72.219460
12489.257813	-71.969955
12575.390625	-72.275040
12661.523438	-71.317871
12747.656250	-72.181549
12833.789063	-74.845512
12919.921875	-76.814583
13006.054688	-76.985100
13092.187500	-77.160851
13178.320313	-78.650970
13264.453125	-82.350380
13350.585938	-89.807770
13436.718750	-84.321304
13522.851563	-80.502327
13608.984375	-82.352043
13695.117188	-84.876549
13781.250000	-80.304855
13867.382813	-79.647423
13953.515625	-81.580551
14039.648438	-84.965385
14125.781250	-84.661331
14211.914063	-86.154778
14298.046875	-88.433632
14384.179688	-87.254555
14470.312500	-87.189796
14556.445313	-86.519951
14642.578125	-85.388321
14728.710938	-87.386581
14814.843750	-85.109192
14900.976563	-83.554581
14987.109375	-86.188400
15073.242188	-86.068214
15159.375000	-82.452667
15245.507813	-81.341766
15331.640625	-82.043755
15417.773438	-84.254005
15503.906250	-83.352127
15590.039063	-81.053123
15676.171875	-79.321289
15762.304688	-77.552269
15848.437500	-78.837303
15934.570313	-82.332039
16020.703125	-85.355972
16106.835938	-89.145302
16192.968750	-90.271141
16279.101563	-93.493683
16365.234375	-97.164879
16451.367188	-90.437325
16537.500000	-87.258270
16623.632813	-87.024033
16709.765625	-88.388229
16795.898438	-85.682838
16882.031250	-86.716339
16968.164063	-90.520416
17054.296875	-91.067207
17140.429688	-89.209396
17226.562500	-87.021416
17312.695313	-88.168968
17398.828125	-91.139511
17484.960938	-91.345390
17571.093750	-92.844604
17657.226563	-91.372025
17743.359375	-90.973755
17829.492188	-93.536140
