Frequency (Hz)	Level (dB)
86.132813	-46.617249
172.265625	-49.151501
258.398438	-53.111183
344.531250	-54.432140
430.664063	-55.814453
516.796875	-59.062973
602.929688	-59.289593
689.062500	-61.418026
775.195313	-62.401211
861.328125	-58.999554
947.460938	-54.537071
1033.593750	-55.893227
1119.726563	-56.835899
1205.859375	-55.409008
1291.992188	-54.875900
1378.125000	-50.731152
1464.257813	-49.174583
1550.390625	-53.705975
1636.523438	-55.850628
1722.656250	-56.794586
1808.789063	-56.939636
1894.921875	-56.277374
1981.054688	-52.920864
2067.187500	-50.704353
2153.320313	-52.702351
2239.453125	-56.303440
2325.585938	-61.568893
2411.718750	-61.745480
2497.851563	-58.682610
2583.984375	-54.119320
2670.117188	-51.353523
2756.250000	-54.106453
2842.382813	-60.887554
2928.515625	-68.822266
3014.648438	-64.260567
3100.781250	-62.778957
3186.914063	-64.726395
3273.046875	-69.061890
3359.179688	-67.255585
3445.312500	-60.074741
3531.445313	-59.963928
3617.578125	-67.887062
3703.710938	-78.676620
3789.843750	-75.970818
3875.976563	-78.360992
3962.109375	-76.640251
4048.242188	-69.485229
4134.375000	-66.351906
4220.507813	-70.662071
4306.640625	-77.296494
4392.773438	-77.851189
4478.906250	-85.039848
4565.039063	-83.686386
4651.171875	-76.417221
4737.304688	-69.119858
4823.437500	-64.805977
4909.570313	-60.619942
4995.703125	-54.403923
5081.835938	-51.834064
5167.968750	-54.598236
5254.101563	-60.700989
5340.234375	-59.532543
5426.367188	-56.484573
5512.500000	-59.859001
5598.632813	-69.902992
5684.765625	-65.107346
5770.898438	-59.404964
5857.031250	-53.274067
5943.164063	-45.620235
6029.296875	-45.041389
6115.429688	-51.569633
6201.562500	-59.701557
6287.695313	-62.546467
6373.828125	-64.392479
6459.960938	-63.992111
6546.093750	-65.490242
6632.226563	-68.988113
6718.359375	-72.593613
6804.492188	-71.685982
6890.625000	-65.233040
6976.757813	-62.835823
7062.890625	-64.203499
7149.023438	-67.077118
7235.156250	-67.220695
7321.289063	-67.111198
7407.421875	-65.426041
7493.554688	-64.738060
7579.687500	-64.793167
7665.820313	-68.684677
7751.953125	-70.422035
7838.085938	-71.392204
7924.218750	-72.172707
8010.351563	-80.508026
8096.484375	-67.996445
8182.617188	-64.629379
8268.750000	-64.805794
8354.882813	-68.114906
8441.015625	-78.579880
8527.148438	-71.913841
8613.281250	-72.386879
8699.414063	-74.144341
8785.546875	-72.872131
8871.679688	-74.258041
8957.812500	-72.378242
9043.945313	-69.459885
9130.078125	-67.772591
9216.210938	-69.923103
9302.343750	-78.256920
9388.476563	-87.288918
9474.609375	-83.803894
9560.742188	-84.585411
9646.875000	-81.518440
9733.007813	-81.686829
9819.140625	-86.241310
9905.273438	-82.527473
9991.406250	-80.075325
10077.539063	-80.873985
10163.671875	-81.952499
10249.804688	-81.188904
10335.937500	-79.906128
10422.070313	-79.550438
10508.203125	-79.125580
10594.335938	-76.421219
10680.468750	-74.239349
10766.601563	-75.368782
10852.734375	-80.489090
10938.867188	-88.777664
11025.000000	-94.706711
11111.132813	-86.871971
11197.265625	-83.135277
11283.398438	-82.859772
11369.531250	-86.630730
11455.664063	-86.972122
11541.796875	-86.858948
11627.929688	-92.021179
11714.062500	-87.142303
11800.195313	-84.609100
11886.328125	-83.194000
11972.460938	-81.608536
12058.593750	-84.299843
12144.726563	-82.347588
12230.859375	-76.531982
12316.992188	-77.094818
12403.125000	-81.216682
12489.257813	-85.012901
12575.390625	-82.980698
12661.523438	-83.080566
12747.656250	-90.759804
12833.789063	-91.883827
12919.921875	-87.157822
13006.054688	-86.035461
13092.187500	-85.110756
13178.320313	-84.339096
13264.453125	-84.875908
13350.585938	-87.248779
13436.718750	-88.836502
13522.851563	-91.803726
13608.984375	-98.379822
13695.117188	-100.301422
13781.250000	-98.031830
13867.382813	-97.457275
13953.515625	-97.390907
14039.648438	-95.457153
14125.781250	-95.495811
14211.914063	-99.559052
14298.046875	-99.363930
14384.179688	-94.520081
14470.312500	-96.033058
14556.445313	-94.584274
14642.578125	-92.499908
14728.710938	-93.435287
14814.843750	-94.597549
14900.976563	-97.145081
14987.109375	-104.171364
15073.242188	-97.724106
15159.375000	-96.693756
15245.507813	-98.614922
15331.640625	-103.677254
15417.773438	-101.702225
15503.906250	-95.484177
15590.039063	-94.843475
15676.171875	-91.459732
15762.304688	-87.833946
15848.437500	-87.839615
15934.570313	-93.102142
16020.703125	-108.185997
16106.835938	-99.192390
16192.968750	-99.785713
16279.101563	-105.531654
16365.234375	-101.063759
16451.367188	-98.685265
16537.500000	-96.394386
16623.632813	-95.049171
16709.765625	-95.831116
16795.898438	-97.933472
16882.031250	-102.603348
16968.164063	-108.590584
17054.296875	-104.207909
17140.429688	-97.841759
17226.562500	-95.545387
17312.695313	-95.311127
17398.828125	-96.359566
17484.960938	-99.588959
17571.093750	-103.914909
17657.226563	-100.035797
17743.359375	-97.037338
17829.492188	-94.380585
17915.625000	-91.264015
18001.757813	-87.805428
18087.890625	-84.756340
18174.023438	-83.680267
18260.156250	-85.124886
18346.289063	-88.084396
18432.421875	-90.298363
18518.554688	-92.242104
18604.687500	-94.255920
18690.820313	-95.364609
18776.953125	-96.115578
18863.085938	-96.476990
18949.218750	-96.226791
19035.351563	-93.413467
19121.484375	-90.611473
19207.617188	-89.152954
19293.750000	-89.495003
19379.882813	-92.377029
19466.015625	-96.961906
19552.148438	-100.900711
19638.281250	-106.736458
19724.414063	-106.089241
19810.546875	-102.310127
19896.679688	-103.586006
19982.812500	-107.849380
20068.945313	-108.756256
20155.078125	-111.384727
20241.210938	-114.929695
20327.343750	-111.439240
20413.476563	-112.717361
20499.609375	-119.592606
20585.742188	-128.687256
20671.875000	-127.802193
20758.007813	-130.688889
20844.140625	-135.367477
20930.273438	-128.546539
21016.406250	-125.063644
21102.539063	-126.028732
21188.671875	-128.947205
21274.804688	-130.631088
21360.937500	-135.161667
21447.070313	-141.722885
21533.203125	-144.341110
21619.335938	-141.802216
21705.468750	-139.128494
21791.601563	-140.576523
21877.734375	-145.479767
21963.867188	-149.645554
