Frequency (Hz)	Level (dB)
86.132813	-61.599762
172.265625	-60.605274
258.398438	-64.100243
344.531250	-65.479187
430.664063	-68.906212
516.796875	-70.130699
602.929688	-71.337067
689.062500	-72.633919
775.195313	-75.103050
861.328125	-74.258682
947.460938	-68.713104
1033.593750	-70.979156
1119.726563	-69.699532
1205.859375	-66.207344
1291.992188	-65.998955
1378.125000	-59.847607
1464.257813	-58.389469
1550.390625	-61.506050
1636.523438	-63.597095
1722.656250	-64.923790
1808.789063	-66.040062
1894.921875	-68.471306
1981.054688	-60.301338
2067.187500	-58.636295
2153.320313	-61.134514
2239.453125	-67.009071
2325.585938	-77.379379
2411.718750	-72.279739
2497.851563	-68.428276
2583.984375	-65.236626
2670.117188	-61.249531
2756.250000	-64.963936
2842.382813	-71.584709
2928.515625	-78.248978
3014.648438	-82.660378
3100.781250	-82.115829
3186.914063	-83.254387
3273.046875	-87.437492
3359.179688	-72.193924
3445.312500	-62.240772
3531.445313	-60.688454
3617.578125	-66.797791
3703.710938	-76.059975
3789.843750	-77.156029
3875.976563	-70.610069
3962.109375	-69.872185
4048.242188	-72.363976
4134.375000	-67.497459
4220.507813	-61.282665
4306.640625	-58.889317
4392.773438	-61.141743
4478.906250	-67.674492
4565.039063	-69.146606
4651.171875	-66.409973
4737.304688	-65.665787
4823.437500	-65.101715
4909.570313	-61.197227
4995.703125	-54.848625
5081.835938	-52.296329
5167.968750	-54.498066
5254.101563	-60.009830
5340.234375	-66.428673
5426.367188	-67.913971
5512.500000	-65.740891
5598.632813	-66.299782
5684.765625	-65.805656
5770.898438	-68.477470
5857.031250	-67.479637
5943.164063	-66.073746
6029.296875	-62.162056
6115.429688	-64.204178
6201.562500	-73.123314
6287.695313	-83.573959
6373.828125	-86.312271
6459.960938	-82.633598
6546.093750	-82.137863
6632.226563	-85.898476
6718.359375	-87.671570
6804.492188	-83.866707
6890.625000	-80.798004
6976.757813	-85.428032
7062.890625	-77.666092
7149.023438	-76.462433
7235.156250	-81.423065
7321.289063	-89.737488
7407.421875	-91.415062
7493.554688	-84.062126
7579.687500	-78.079048
7665.820313	-75.785873
7751.953125	-73.974098
7838.085938	-72.544754
7924.218750	-74.667549
8010.351563	-80.012764
8096.484375	-75.477989
8182.617188	-72.293159
8268.750000	-73.696930
8354.882813	-77.313911
8441.015625	-83.600075
8527.148438	-87.126564
8613.281250	-85.565437
8699.414063	-80.831291
8785.546875	-81.682892
8871.679688	-86.149643
8957.812500	-82.038017
9043.945313	-77.141556
9130.078125	-74.131676
9216.210938	-72.904655
9302.343750	-75.623230
9388.476563	-81.141182
9474.609375	-86.482277
9560.742188	-83.225334
9646.875000	-87.479134
9733.007813	-84.412560
9819.140625	-81.047409
9905.273438	-83.503471
9991.406250	-89.357857
10077.539063	-95.003113
10163.671875	-91.043190
10249.804688	-87.823059
10335.937500	-85.719749
10422.070313	-85.353416
10508.203125	-87.268562
10594.335938	-83.373581
10680.468750	-79.777176
10766.601563	-82.567795
10852.734375	-87.093048
10938.867188	-87.647751
11025.000000	-86.322823
11111.132813	-82.061340
11197.265625	-82.715141
11283.398438	-85.376358
11369.531250	-78.705803
11455.664063	-77.381271
11541.796875	-80.313560
11627.929688	-85.936516
11714.062500	-86.488586
11800.195313	-82.353058
11886.328125	-76.867447
11972.460938	-74.063484
12058.593750	-76.344467
12144.726563	-76.263359
12230.859375	-73.670166
12316.992188	-76.090607
12403.125000	-77.256424
12489.257813	-77.936089
12575.390625	-79.504723
12661.523438	-79.853218
12747.656250	-80.185188
12833.789063	-82.220955
12919.921875	-86.159546
13006.054688	-88.080650
13092.187500	-89.831665
13178.320313	-86.866425
13264.453125	-83.902199
13350.585938	-84.215965
13436.718750	-86.158577
13522.851563	-89.884888
13608.984375	-93.815926
13695.117188	-96.603790
13781.250000	-100.278526
13867.382813	-99.558861
13953.515625	-98.321793
14039.648438	-96.503334
14125.781250	-95.577026
14211.914063	-95.318390
14298.046875	-94.075287
14384.179688	-93.623688
14470.312500	-92.954086
14556.445313	-90.331909
14642.578125	-91.526741
14728.710938	-93.536247
14814.843750	-93.776917
14900.976563	-93.028946
14987.109375	-93.674461
15073.242188	-94.783951
15159.375000	-92.760658
15245.507813	-91.763786
15331.640625	-92.109383
15417.773438	-92.120033
15503.906250	-90.848228
15590.039063	-91.121498
15676.171875	-90.368324
15762.304688	-88.725182
15848.437500	-89.091591
15934.570313	-92.088554
16020.703125	-95.887047
16106.835938	-100.117058
16192.968750	-105.142487
16279.101563	-111.313820
16365.234375	-111.936745
16451.367188	-115.419006
16537.500000	-115.462318
16623.632813	-114.676735
16709.765625	-122.255997
16795.898438	-123.812546
16882.031250	-124.050369
16968.164063	-123.538155
17054.296875	-120.519943
17140.429688	-116.601204
17226.562500	-114.921188
17312.695313	-115.698517
17398.828125	-117.080650
17484.960938	-117.113518
17571.093750	-118.239418
17657.226563	-116.781502
17743.359375	-115.922112
17829.492188	-114.459892
17915.625000	-111.372391
18001.757813	-108.246284
18087.890625	-106.510284
18174.023438	-106.167480
18260.156250	-107.759346
18346.289063	-111.256233
18432.421875	-114.728821
18518.554688	-117.288643
18604.687500	-117.506958
18690.820313	-117.225655
18776.953125	-117.393753
18863.085938	-118.125847
18949.218750	-120.781578
19035.351563	-121.110863
19121.484375	-117.069069
19207.617188	-115.851051
19293.750000	-115.414429
19379.882813	-115.234253
19466.015625	-117.162018
19552.148438	-121.996025
19638.281250	-127.713341
19724.414063	-128.790939
19810.546875	-126.944160
19896.679688	-128.977570
19982.812500	-127.310455
20068.945313	-126.495514
20155.078125	-128.560440
20241.210938	-128.200638
20327.343750	-128.396942
20413.476563	-131.589111
20499.609375	-133.165009
20585.742188	-135.011215
20671.875000	-135.624527
20758.007813	-138.216415
20844.140625	-139.290771
20930.273438	-138.189545
21016.406250	-138.787338
21102.539063	-142.220825
21188.671875	-144.360260
21274.804688	-144.830811
21360.937500	-146.415665
21447.070313	-147.629547
21533.203125	-149.678543
21619.335938	-150.946884
21705.468750	-151.475403
21791.601563	-153.380417
21877.734375	-156.551163
21963.867188	-157.835480
