Frequency (Hz)	Level (dB)
86.132813	-47.195339
172.265625	-49.227379
258.398438	-53.430305
344.531250	-56.808685
430.664063	-56.507584
516.796875	-58.046299
602.929688	-58.490223
689.062500	-59.961979
775.195313	-60.547741
861.328125	-65.253723
947.460938	-69.072868
1033.593750	-67.036560
1119.726563	-62.925873
1205.859375	-61.676884
1291.992188	-64.902504
1378.125000	-58.777962
1464.257813	-56.424957
1550.390625	-61.384323
1636.523438	-68.048119
1722.656250	-66.073364
1808.789063	-65.037895
1894.921875	-61.061817
1981.054688	-55.236198
2067.187500	-57.066845
2153.320313	-60.841148
2239.453125	-65.871040
2325.585938	-66.642471
2411.718750	-59.926289
2497.851563	-60.256573
2583.984375	-64.864052
2670.117188	-61.554123
2756.250000	-54.632416
2842.382813	-54.310997
2928.515625	-58.411354
3014.648438	-62.784386
3100.781250	-63.002098
3186.914063	-65.342735
3273.046875	-73.903275
3359.179688	-65.532288
3445.312500	-58.076996
3531.445313	-57.092972
3617.578125	-63.628017
3703.710938	-68.497948
3789.843750	-57.627548
3875.976563	-52.374138
3962.109375	-52.733227
4048.242188	-56.386646
4134.375000	-59.566906
4220.507813	-62.542477
4306.640625	-64.940544
4392.773438	-65.626961
4478.906250	-64.106735
4565.039063	-65.708801
4651.171875	-68.630959
4737.304688	-69.356407
4823.437500	-73.002678
4909.570313	-64.568253
4995.703125	-59.731567
5081.835938	-60.897102
5167.968750	-60.882969
5254.101563	-61.292351
5340.234375	-63.179523
5426.367188	-56.396313
5512.500000	-51.265488
5598.632813	-50.819489
5684.765625	-53.366722
5770.898438	-53.136314
5857.031250	-53.755623
5943.164063	-47.657471
6029.296875	-45.658592
6115.429688	-51.062271
6201.562500	-63.126091
6287.695313	-70.231277
6373.828125	-66.754585
6459.960938	-67.172859
6546.093750	-68.885139
6632.226563	-78.532272
6718.359375	-77.012474
6804.492188	-72.325882
6890.625000	-69.828476
6976.757813	-70.478096
7062.890625	-74.659798
7149.023438	-66.203354
7235.156250	-63.088619
7321.289063	-64.966927
7407.421875	-62.961311
7493.554688	-61.894455
7579.687500	-63.948345
7665.820313	-64.088463
7751.953125	-61.510910
7838.085938	-57.512714
7924.218750	-58.477074
8010.351563	-62.624928
8096.484375	-66.675629
8182.617188	-71.251564
8268.750000	-65.467186
8354.882813	-64.763077
8441.015625	-69.816177
8527.148438	-74.730896
8613.281250	-71.925995
8699.414063	-75.682526
8785.546875	-73.432030
8871.679688	-70.274727
8957.812500	-65.661659
9043.945313	-66.000580
9130.078125	-68.033485
9216.210938	-69.547028
9302.343750	-73.731148
9388.476563	-78.219528
9474.609375	-75.354279
9560.742188	-74.665131
9646.875000	-78.424057
9733.007813	-79.796951
9819.140625	-79.736153
9905.273438	-84.052483
9991.406250	-84.726707
10077.539063	-84.773857
10163.671875	-85.710236
10249.804688	-80.662186
10335.937500	-75.533775
10422.070313	-75.381477
10508.203125	-78.641777
10594.335938	-77.236359
10680.468750	-75.746124
10766.601563	-78.721504
10852.734375	-86.931168
10938.867188	-93.533836
11025.000000	-92.611237
11111.132813	-82.895683
11197.265625	-77.796844
11283.398438	-79.852272
11369.531250	-86.319344
11455.664063	-87.347137
11541.796875	-83.844185
11627.929688	-85.036240
11714.062500	-85.922684
11800.195313	-89.957085
11886.328125	-88.482338
11972.460938	-83.929550
12058.593750	-81.242889
12144.726563	-73.495811
12230.859375	-68.600296
12316.992188	-69.423317
12403.125000	-73.370888
12489.257813	-76.346542
12575.390625	-80.987465
12661.523438	-84.540359
12747.656250	-86.946510
12833.789063	-88.441833
12919.921875	-88.560623
13006.054688	-90.862915
13092.187500	-90.123169
13178.320313	-87.928162
13264.453125	-82.701637
13350.585938	-79.567322
13436.718750	-80.381317
13522.851563	-83.533730
13608.984375	-89.084877
13695.117188	-95.899635
13781.250000	-92.420036
13867.382813	-91.033554
13953.515625	-90.894447
14039.648438	-91.029251
14125.781250	-88.258026
14211.914063	-87.295372
14298.046875	-85.176689
14384.179688	-86.134850
14470.312500	-86.879158
14556.445313	-92.729553
14642.578125	-86.447296
14728.710938	-82.788002
14814.843750	-81.953972
14900.976563	-82.792282
14987.109375	-90.387634
15073.242188	-87.191124
15159.375000	-84.585464
15245.507813	-87.178612
15331.640625	-89.652733
15417.773438	-87.843605
15503.906250	-92.911034
15590.039063	-96.700340
15676.171875	-92.835320
15762.304688	-92.030273
15848.437500	-94.148018
15934.570313	-92.081108
16020.703125	-95.133675
16106.835938	-101.073929
16192.968750	-99.310287
16279.101563	-96.909180
16365.234375	-91.680550
16451.367188	-88.886490
16537.500000	-88.012108
16623.632813	-87.758728
16709.765625	-86.768837
16795.898438	-86.791481
16882.031250	-89.730583
16968.164063	-91.380630
17054.296875	-89.408501
17140.429688	-89.001060
17226.562500	-90.867722
17312.695313	-93.859474
17398.828125	-96.090111
17484.960938	-95.082634
17571.093750	-93.016350
17657.226563	-91.721092
17743.359375	-88.699020
17829.492188	-88.636009
17915.625000	-91.156464
18001.757813	-89.623482
18087.890625	-83.896729
18174.023438	-79.145180
18260.156250	-77.827339
18346.289063	-80.048164
18432.421875	-85.108154
18518.554688	-90.013367
18604.687500	-92.445595
18690.820313	-93.320267
18776.953125	-95.898285
18863.085938	-96.811951
18949.218750	-97.722481
19035.351563	-101.874664
19121.484375	-93.447556
19207.617188	-90.401627
19293.750000	-91.155380
19379.882813	-93.879089
19466.015625	-95.999603
19552.148438	-96.685997
19638.281250	-101.308823
19724.414063	-105.209953
19810.546875	-100.990143
19896.679688	-102.545776
19982.812500	-107.382996
20068.945313	-109.833061
20155.078125	-110.201439
20241.210938	-114.198425
20327.343750	-113.396126
20413.476563	-119.605873
20499.609375	-118.592316
20585.742188	-114.712921
20671.875000	-112.134949
20758.007813	-108.889030
20844.140625	-109.555069
20930.273438	-115.054176
21016.406250	-122.205063
21102.539063	-121.695526
21188.671875	-120.485153
21274.804688	-122.058846
21360.937500	-128.459778
21447.070313	-125.154678
21533.203125	-127.515007
21619.335938	-132.245728
21705.468750	-130.042435
21791.601563	-131.471451
21877.734375	-135.055389
21963.867188	-130.357178
