Frequency (Hz)	Level (dB)
86.132813	-46.026875
172.265625	-48.308491
258.398438	-51.007595
344.531250	-53.557999
430.664063	-55.364773
516.796875	-56.166451
602.929688	-56.658836
689.062500	-57.851223
775.195313	-59.755573
861.328125	-62.517296
947.460938	-65.823906
1033.593750	-63.621223
1119.726563	-60.647594
1205.859375	-58.836418
1291.992188	-58.226048
1378.125000	-59.089550
1464.257813	-61.407303
1550.390625	-68.143219
1636.523438	-68.901947
1722.656250	-64.658058
1808.789063	-61.051903
1894.921875	-60.279984
1981.054688	-61.521595
2067.187500	-64.159721
2153.320313	-69.908081
2239.453125	-66.381874
2325.585938	-63.694374
2411.718750	-62.172901
2497.851563	-61.897640
2583.984375	-61.598839
2670.117188	-61.736107
2756.250000	-62.405937
2842.382813	-61.722919
2928.515625	-60.733704
3014.648438	-55.565731
3100.781250	-56.281185
3186.914063	-58.671772
3273.046875	-58.342575
3359.179688	-58.024876
3445.312500	-58.655159
3531.445313	-60.188663
3617.578125	-62.123451
3703.710938	-62.268848
3789.843750	-60.790646
3875.976563	-57.069202
3962.109375	-54.594883
4048.242188	-56.682842
4134.375000	-62.292183
4220.507813	-65.569717
4306.640625	-61.767769
4392.773438	-61.592915
4478.906250	-62.484550
4565.039063	-62.270439
4651.171875	-60.780487
4737.304688	-61.171638
4823.437500	-63.851154
4909.570313	-60.304287
4995.703125	-58.746590
5081.835938	-59.188232
5167.968750	-59.677654
5254.101563	-57.170025
5340.234375	-54.127460
5426.367188	-52.866665
5512.500000	-54.192398
5598.632813	-56.672531
5684.765625	-53.070087
5770.898438	-50.718529
5857.031250	-48.819786
5943.164063	-43.119991
6029.296875	-40.806911
6115.429688	-44.878830
6201.562500	-51.503582
6287.695313	-56.787560
6373.828125	-59.466198
6459.960938	-60.591267
6546.093750	-61.588223
6632.226563	-64.149086
6718.359375	-65.918037
6804.492188	-68.119453
6890.625000	-74.071823
6976.757813	-76.279282
7062.890625	-74.399246
7149.023438	-70.741196
7235.156250	-69.743195
7321.289063	-72.853706
7407.421875	-77.003433
7493.554688	-81.043251
7579.687500	-74.265533
7665.820313	-70.210960
7751.953125	-66.925331
7838.085938	-65.800003
7924.218750	-67.299080
8010.351563	-70.232140
8096.484375	-71.147011
8182.617188	-69.007927
8268.750000	-68.790619
8354.882813	-69.547218
8441.015625	-70.796791
8527.148438	-73.665970
8613.281250	-79.599823
8699.414063	-70.717072
8785.546875	-66.832970
8871.679688	-66.110184
8957.812500	-69.311043
9043.945313	-76.126205
9130.078125	-79.598717
9216.210938	-73.352783
9302.343750	-72.211220
9388.476563	-70.623779
9474.609375	-70.965439
9560.742188	-71.330734
9646.875000	-67.885696
9733.007813	-65.279495
9819.140625	-65.183128
9905.273438	-67.080246
9991.406250	-69.121162
10077.539063	-69.340523
10163.671875	-67.667664
10249.804688	-67.784187
10335.937500	-72.588333
10422.070313	-76.619499
10508.203125	-71.248245
10594.335938	-70.384789
10680.468750	-68.828102
10766.601563	-66.338120
10852.734375	-64.957115
10938.867188	-65.631042
11025.000000	-67.006790
11111.132813	-66.985062
11197.265625	-68.252884
11283.398438	-72.559525
11369.531250	-76.921669
11455.664063	-72.599487
11541.796875	-69.001755
11627.929688	-68.438377
11714.062500	-69.696838
11800.195313	-69.032104
11886.328125	-67.482674
11972.460938	-66.477638
12058.593750	-63.404263
12144.726563	-58.748352
12230.859375	-56.255653
12316.992188	-57.490543
12403.125000	-61.299740
12489.257813	-65.086288
12575.390625	-67.664215
12661.523438	-69.848236
12747.656250	-71.219017
12833.789063	-73.090904
12919.921875	-76.817741
13006.054688	-80.980515
13092.187500	-81.669174
13178.320313	-79.451080
13264.453125	-79.158691
13350.585938	-79.853714
13436.718750	-79.179955
13522.851563	-77.830307
13608.984375	-76.856804
13695.117188	-77.130890
13781.250000	-78.061790
13867.382813	-78.172386
13953.515625	-77.200867
14039.648438	-76.519470
14125.781250	-76.505661
14211.914063	-76.301132
14298.046875	-76.379326
14384.179688	-77.615189
14470.312500	-78.828819
14556.445313	-77.596634
14642.578125	-76.511597
14728.710938	-76.534851
14814.843750	-75.508980
14900.976563	-74.599663
14987.109375	-76.204018
15073.242188	-81.226990
15159.375000	-83.079468
15245.507813	-78.639473
15331.640625	-76.703079
15417.773438	-77.312050
15503.906250	-77.977028
15590.039063	-77.095940
15676.171875	-76.342972
15762.304688	-75.648392
15848.437500	-75.808418
15934.570313	-76.761139
16020.703125	-77.119576
16106.835938	-78.029106
16192.968750	-81.178352
16279.101563	-83.632599
16365.234375	-83.370255
16451.367188	-84.009987
16537.500000	-85.647629
16623.632813	-89.233917
16709.765625	-96.089508
16795.898438	-99.982201
16882.031250	-97.874786
16968.164063	-94.589149
17054.296875	-92.539528
17140.429688	-91.383087
17226.562500	-90.347298
17312.695313	-90.444969
17398.828125	-91.163925
17484.960938	-92.506073
17571.093750	-94.192986
17657.226563	-90.884712
17743.359375	-89.118156
17829.492188	-89.607773
17915.625000	-88.078079
18001.757813	-84.294785
18087.890625	-80.801926
18174.023438	-78.286369
18260.156250	-77.359993
18346.289063	-78.611481
18432.421875	-81.831039
18518.554688	-84.736870
18604.687500	-85.730560
18690.820313	-86.433426
18776.953125	-86.177605
18863.085938	-84.994881
18949.218750	-83.782974
19035.351563	-83.569969
19121.484375	-84.839149
19207.617188	-87.956970
19293.750000	-92.671844
19379.882813	-91.184143
19466.015625	-88.318275
19552.148438	-88.026863
19638.281250	-89.008202
19724.414063	-91.347878
19810.546875	-95.675102
19896.679688	-101.402924
19982.812500	-104.229401
20068.945313	-104.743935
20155.078125	-105.199158
20241.210938	-105.944740
20327.343750	-105.409233
20413.476563	-106.514748
20499.609375	-111.435768
20585.742188	-115.458069
20671.875000	-110.365257
20758.007813	-109.469078
20844.140625	-113.388847
20930.273438	-113.226036
21016.406250	-112.106728
21102.539063	-114.927673
21188.671875	-124.474922
21274.804688	-120.171677
21360.937500	-118.757813
21447.070313	-121.866386
21533.203125	-124.265945
21619.335938	-125.620911
21705.468750	-126.771179
21791.601563	-126.095985
21877.734375	-128.295074
21963.867188	-132.019882
