Frequency (Hz)	Level (dB)
86.132813	-61.376461
172.265625	-60.010372
258.398438	-62.160072
344.531250	-65.004066
430.664063	-67.140015
516.796875	-67.705635
602.929688	-68.606194
689.062500	-70.109093
775.195313	-72.360580
861.328125	-71.432152
947.460938	-71.183998
1033.593750	-74.972771
1119.726563	-75.622200
1205.859375	-71.871750
1291.992188	-70.420441
1378.125000	-66.703346
1464.257813	-67.399269
1550.390625	-68.125526
1636.523438	-67.675629
1722.656250	-67.817970
1808.789063	-67.952835
1894.921875	-65.187798
1981.054688	-64.682304
2067.187500	-65.009964
2153.320313	-66.706863
2239.453125	-70.346626
2325.585938	-73.614151
2411.718750	-70.454788
2497.851563	-68.242073
2583.984375	-69.060860
2670.117188	-69.185013
2756.250000	-70.937515
2842.382813	-71.583145
2928.515625	-67.909660
3014.648438	-62.991707
3100.781250	-65.724174
3186.914063	-75.031754
3273.046875	-73.853271
3359.179688	-73.484901
3445.312500	-71.519066
3531.445313	-69.601746
3617.578125	-70.527527
3703.710938	-71.502182
3789.843750	-69.295967
3875.976563	-64.507523
3962.109375	-62.864361
4048.242188	-64.470291
4134.375000	-64.719696
4220.507813	-62.955994
4306.640625	-64.800194
4392.773438	-70.071442
4478.906250	-74.803185
4565.039063	-75.150055
4651.171875	-76.260712
4737.304688	-73.996239
4823.437500	-67.069504
4909.570313	-63.447365
4995.703125	-67.237709
5081.835938	-70.384270
5167.968750	-71.696014
5254.101563	-74.921173
5340.234375	-71.483315
5426.367188	-67.359550
5512.500000	-63.684521
5598.632813	-63.240269
5684.765625	-62.311443
5770.898438	-58.644207
5857.031250	-59.090775
5943.164063	-52.824917
6029.296875	-49.070515
6115.429688	-54.032909
6201.562500	-63.279358
6287.695313	-69.250008
6373.828125	-73.996323
6459.960938	-77.577614
6546.093750	-76.108665
6632.226563	-79.057747
6718.359375	-83.365845
6804.492188	-81.100029
6890.625000	-81.014366
6976.757813	-87.332169
7062.890625	-79.310806
7149.023438	-78.143250
7235.156250	-83.028412
7321.289063	-86.233788
7407.421875	-84.131828
7493.554688	-83.905846
7579.687500	-80.454582
7665.820313	-77.697052
7751.953125	-74.094749
7838.085938	-71.152344
7924.218750	-73.863434
8010.351563	-80.389297
8096.484375	-81.063797
8182.617188	-80.209709
8268.750000	-80.234688
8354.882813	-82.510307
8441.015625	-87.792397
8527.148438	-85.128746
8613.281250	-85.231178
8699.414063	-83.476646
8785.546875	-83.108376
8871.679688	-85.429741
8957.812500	-84.398125
9043.945313	-85.404503
9130.078125	-88.018333
9216.210938	-81.458878
9302.343750	-80.736389
9388.476563	-81.971519
9474.609375	-85.776451
9560.742188	-86.627281
9646.875000	-80.725998
9733.007813	-80.123055
9819.140625	-83.302147
9905.273438	-82.533089
9991.406250	-83.979515
10077.539063	-86.949799
10163.671875	-88.868843
10249.804688	-88.106697
10335.937500	-90.074539
10422.070313	-93.986259
10508.203125	-91.581184
10594.335938	-88.236252
10680.468750	-85.153076
10766.601563	-81.740654
10852.734375	-79.252190
10938.867188	-79.579872
11025.000000	-82.610947
11111.132813	-89.792717
11197.265625	-89.134956
11283.398438	-89.745987
11369.531250	-92.299278
11455.664063	-85.822418
11541.796875	-81.741714
11627.929688	-81.315002
11714.062500	-84.599846
11800.195313	-89.290871
11886.328125	-93.024689
11972.460938	-90.598389
12058.593750	-91.811928
12144.726563	-94.642784
12230.859375	-86.729317
12316.992188	-85.710388
12403.125000	-89.726028
12489.257813	-94.233948
12575.390625	-98.347946
12661.523438	-98.947655
12747.656250	-92.865814
12833.789063	-89.360664
12919.921875	-91.465736
13006.054688	-95.636726
13092.187500	-95.275620
13178.320313	-97.526741
13264.453125	-100.298820
13350.585938	-101.524879
13436.718750	-101.441673
13522.851563	-102.141815
13608.984375	-99.334793
13695.117188	-97.956993
13781.250000	-97.774834
13867.382813	-94.956345
13953.515625	-93.567986
14039.648438	-94.011566
14125.781250	-96.074303
14211.914063	-97.948036
14298.046875	-97.230408
14384.179688	-94.057800
14470.312500	-94.046997
14556.445313	-94.808723
14642.578125	-93.103943
14728.710938	-92.048218
14814.843750	-89.555099
14900.976563	-88.504501
14987.109375	-89.914200
15073.242188	-92.187737
15159.375000	-94.434921
15245.507813	-91.647057
15331.640625	-87.056786
15417.773438	-86.150330
15503.906250	-87.416954
15590.039063	-88.157928
15676.171875	-88.297066
15762.304688	-88.189491
15848.437500	-89.453087
15934.570313	-90.976196
16020.703125	-90.624390
16106.835938	-88.512527
16192.968750	-89.178452
16279.101563	-90.779129
16365.234375	-92.723396
16451.367188	-95.001778
16537.500000	-96.704063
16623.632813	-98.500397
16709.765625	-100.800819
16795.898438	-101.912483
16882.031250	-102.388603
16968.164063	-103.219635
17054.296875	-103.985825
17140.429688	-104.511391
17226.562500	-104.818550
17312.695313	-105.982262
17398.828125	-106.752747
17484.960938	-106.455444
17571.093750	-105.483910
17657.226563	-104.341896
17743.359375	-103.846176
17829.492188	-103.729202
17915.625000	-103.328835
18001.757813	-102.933960
18087.890625	-102.318794
18174.023438	-102.405663
18260.156250	-103.692818
18346.289063	-107.195999
18432.421875	-110.202316
18518.554688	-108.902924
18604.687500	-106.435471
18690.820313	-105.000923
18776.953125	-104.678123
18863.085938	-106.279526
18949.218750	-109.010948
