Frequency (Hz)	Level (dB)
86.132813	-47.902245
172.265625	-50.991016
258.398438	-54.321899
344.531250	-56.240612
430.664063	-58.147995
516.796875	-59.214840
602.929688	-59.755604
689.062500	-61.221561
775.195313	-62.137894
861.328125	-63.596397
947.460938	-63.058994
1033.593750	-62.724117
1119.726563	-60.495098
1205.859375	-59.265762
1291.992188	-57.340443
1378.125000	-60.333858
1464.257813	-67.060715
1550.390625	-68.265602
1636.523438	-66.494766
1722.656250	-62.974316
1808.789063	-55.939335
1894.921875	-57.332355
1981.054688	-59.283875
2067.187500	-54.449352
2153.320313	-60.338470
2239.453125	-66.536522
2325.585938	-60.631271
2411.718750	-52.033039
2497.851563	-49.847755
2583.984375	-54.165066
2670.117188	-57.835827
2756.250000	-59.999855
2842.382813	-64.363914
2928.515625	-59.935032
3014.648438	-53.536823
3100.781250	-51.728165
3186.914063	-51.781219
3273.046875	-54.815552
3359.179688	-58.262547
3445.312500	-56.627399
3531.445313	-55.725025
3617.578125	-61.356960
3703.710938	-56.813438
3789.843750	-56.439434
3875.976563	-62.394447
3962.109375	-71.256622
4048.242188	-69.771034
4134.375000	-69.732170
4220.507813	-71.983597
4306.640625	-71.892616
4392.773438	-71.199356
4478.906250	-70.205345
4565.039063	-67.018997
4651.171875	-67.890388
4737.304688	-65.591934
4823.437500	-61.691139
4909.570313	-58.686153
4995.703125	-59.223633
5081.835938	-64.028473
5167.968750	-62.389217
5254.101563	-65.693802
5340.234375	-63.708637
5426.367188	-53.503460
5512.500000	-52.427864
5598.632813	-59.698471
5684.765625	-65.004601
5770.898438	-59.531162
5857.031250	-59.382172
5943.164063	-63.793262
6029.296875	-57.580769
6115.429688	-61.221542
6201.562500	-66.039093
6287.695313	-73.137466
6373.828125	-67.622368
6459.960938	-67.972481
6546.093750	-72.739937
6632.226563	-79.066193
6718.359375	-73.534286
6804.492188	-71.004082
6890.625000	-70.077606
6976.757813	-69.705452
7062.890625	-69.511505
7149.023438	-70.248489
7235.156250	-69.059090
7321.289063	-70.287460
7407.421875	-69.177628
7493.554688	-69.137810
7579.687500	-65.204613
7665.820313	-63.758472
7751.953125	-59.553928
7838.085938	-56.403492
7924.218750	-60.778618
8010.351563	-68.124138
8096.484375	-68.721069
8182.617188	-66.070175
8268.750000	-69.175690
8354.882813	-73.785141
8441.015625	-77.226524
8527.148438	-76.343575
8613.281250	-70.200851
8699.414063	-65.132904
8785.546875	-64.238396
8871.679688	-66.296867
8957.812500	-65.376671
9043.945313	-63.846107
9130.078125	-65.071503
9216.210938	-68.452034
9302.343750	-73.892189
9388.476563	-75.013191
9474.609375	-77.138367
9560.742188	-80.508469
9646.875000	-81.723587
9733.007813	-80.782295
9819.140625	-80.468933
9905.273438	-78.148438
9991.406250	-73.240356
10077.539063	-70.564171
10163.671875	-71.906898
10249.804688	-75.698830
10335.937500	-78.413017
10422.070313	-81.356895
10508.203125	-84.964951
10594.335938	-85.987862
10680.468750	-87.360939
10766.601563	-82.665527
10852.734375	-78.647690
10938.867188	-81.005424
11025.000000	-79.226425
11111.132813	-75.715103
11197.265625	-74.251190
11283.398438	-72.885956
11369.531250	-77.941490
11455.664063	-84.448944
11541.796875	-86.422508
11627.929688	-85.701187
11714.062500	-83.976715
11800.195313	-87.587830
11886.328125	-86.624321
11972.460938	-84.534691
12058.593750	-81.980392
12144.726563	-82.036446
12230.859375	-82.957802
12316.992188	-85.478775
12403.125000	-85.351601
12489.257813	-82.992287
12575.390625	-81.408531
12661.523438	-80.281433
12747.656250	-80.736656
12833.789063	-78.404282
12919.921875	-77.918983
13006.054688	-81.782028
13092.187500	-87.797760
13178.320313	-92.906441
13264.453125	-95.939667
13350.585938	-94.470833
13436.718750	-90.619675
13522.851563	-86.156136
13608.984375	-83.614449
13695.117188	-85.114105
13781.250000	-88.461983
13867.382813	-91.519440
13953.515625	-87.815002
14039.648438	-88.369293
14125.781250	-91.542305
14211.914063	-88.542946
14298.046875	-85.725677
14384.179688	-84.097588
14470.312500	-87.356003
14556.445313	-87.926224
14642.578125	-85.922348
14728.710938	-85.744034
14814.843750	-84.764420
14900.976563	-84.638496
14987.109375	-81.992203
15073.242188	-81.481857
15159.375000	-82.094589
15245.507813	-84.965538
15331.640625	-87.115761
15417.773438	-86.088608
15503.906250	-82.231155
15590.039063	-83.072632
15676.171875	-83.004433
15762.304688	-83.051727
15848.437500	-83.623489
15934.570313	-87.401833
16020.703125	-92.082909
16106.835938	-91.280746
16192.968750	-91.124214
16279.101563	-89.996895
16365.234375	-92.603539
16451.367188	-100.013077
16537.500000	-97.820801
16623.632813	-94.971390
16709.765625	-94.910156
16795.898438	-99.805428
16882.031250	-97.508858
16968.164063	-96.318344
17054.296875	-102.119881
17140.429688	-102.411263
17226.562500	-99.731575
17312.695313	-95.638748
17398.828125	-99.244484
17484.960938	-100.483528
17571.093750	-99.478065
17657.226563	-94.602303
17743.359375	-95.509590
17829.492188	-94.956352
17915.625000	-91.843636
18001.757813	-88.695877
18087.890625	-87.664238
18174.023438	-85.732811
18260.156250	-84.667809
18346.289063	-87.247314
18432.421875	-91.903679
18518.554688	-93.147560
18604.687500	-95.243439
18690.820313	-94.392525
18776.953125	-95.455040
18863.085938	-95.951599
18949.218750	-98.056618
19035.351563	-96.635796
19121.484375	-94.706978
19207.617188	-92.980606
19293.750000	-95.117699
19379.882813	-97.398560
19466.015625	-93.871521
19552.148438	-94.798347
19638.281250	-100.393013
19724.414063	-101.370651
19810.546875	-103.975616
19896.679688	-107.302765
19982.812500	-110.030945
20068.945313	-115.408394
20155.078125	-113.014297
20241.210938	-110.253288
20327.343750	-114.407837
20413.476563	-112.049515
20499.609375	-111.674072
20585.742188	-112.251625
20671.875000	-114.149506
20758.007813	-120.431984
20844.140625	-117.097816
20930.273438	-113.842270
21016.406250	-115.613457
21102.539063	-119.750717
21188.671875	-121.599937
21274.804688	-124.269478
21360.937500	-131.623062
21447.070313	-133.626740
21533.203125	-130.053253
21619.335938	-131.605438
21705.468750	-137.397430
21791.601563	-141.441208
21877.734375	-147.819824
21963.867188	-144.985886
