Frequency (Hz)	Level (dB)
86.132813	-59.750153
172.265625	-62.538139
258.398438	-64.413322
344.531250	-64.302231
430.664063	-66.860199
516.796875	-67.472260
602.929688	-65.237518
689.062500	-65.114861
775.195313	-65.445328
861.328125	-64.591530
947.460938	-65.761612
1033.593750	-68.125648
1119.726563	-61.162106
1205.859375	-57.473213
1291.992188	-56.228550
1378.125000	-57.083450
1464.257813	-59.996391
1550.390625	-63.160378
1636.523438	-60.697277
1722.656250	-55.514957
1808.789063	-52.760990
1894.921875	-54.933228
1981.054688	-61.203953
2067.187500	-55.474106
2153.320313	-55.717926
2239.453125	-60.995094
2325.585938	-59.277412
2411.718750	-54.240170
2497.851563	-53.823612
2583.984375	-58.524967
2670.117188	-62.236282
2756.250000	-64.975800
2842.382813	-70.697151
2928.515625	-66.124451
3014.648438	-62.034000
3100.781250	-56.405663
3186.914063	-54.330193
3273.046875	-56.179695
3359.179688	-58.398865
3445.312500	-57.638424
3531.445313	-60.294518
3617.578125	-69.992188
3703.710938	-64.451218
3789.843750	-62.301037
3875.976563	-61.782814
3962.109375	-61.483509
4048.242188	-63.108250
4134.375000	-66.943970
4220.507813	-70.681091
4306.640625	-69.913864
4392.773438	-69.952599
4478.906250	-63.469028
4565.039063	-56.859081
4651.171875	-56.812370
4737.304688	-60.703293
4823.437500	-63.227467
4909.570313	-64.273453
4995.703125	-67.013603
5081.835938	-67.386070
5167.968750	-65.964256
5254.101563	-62.341175
5340.234375	-60.408672
5426.367188	-61.927578
5512.500000	-67.170792
5598.632813	-72.010216
5684.765625	-65.559685
5770.898438	-60.709782
5857.031250	-61.136089
5943.164063	-65.110588
6029.296875	-70.745880
6115.429688	-68.587822
6201.562500	-66.858940
6287.695313	-65.236313
6373.828125	-66.006851
6459.960938	-68.776726
6546.093750	-74.181107
6632.226563	-66.237724
6718.359375	-62.678566
6804.492188	-62.666229
6890.625000	-63.635082
6976.757813	-63.151684
7062.890625	-63.151566
7149.023438	-68.433952
7235.156250	-71.254013
7321.289063	-63.986221
7407.421875	-63.388691
7493.554688	-63.114578
7579.687500	-65.576981
7665.820313	-69.489677
7751.953125	-60.003448
7838.085938	-57.526123
7924.218750	-59.338741
8010.351563	-63.888863
8096.484375	-64.857582
8182.617188	-64.303818
8268.750000	-64.247665
8354.882813	-65.754791
8441.015625	-69.632660
8527.148438	-77.048660
8613.281250	-83.827263
8699.414063	-75.446434
8785.546875	-68.389458
8871.679688	-65.787613
8957.812500	-66.632339
9043.945313	-71.092659
9130.078125	-76.265259
9216.210938	-77.473618
9302.343750	-80.680946
9388.476563	-87.521896
9474.609375	-79.973145
9560.742188	-82.367973
9646.875000	-88.928871
9733.007813	-82.659676
9819.140625	-81.391449
9905.273438	-79.136726
9991.406250	-75.470222
10077.539063	-72.603188
10163.671875	-71.742500
10249.804688	-73.187164
10335.937500	-76.369591
10422.070313	-82.899376
10508.203125	-91.796532
