Frequency (Hz)	Level (dB)
86.132813	-42.626152
172.265625	-45.790581
258.398438	-47.972218
344.531250	-50.203022
430.664063	-51.895512
516.796875	-53.068039
602.929688	-54.054855
689.062500	-55.376785
775.195313	-56.964134
861.328125	-58.179272
947.460938	-58.706940
1033.593750	-59.753479
1119.726563	-60.014561
1205.859375	-58.933575
1291.992188	-58.883400
1378.125000	-59.944321
1464.257813	-62.562160
1550.390625	-62.461765
1636.523438	-61.127445
1722.656250	-60.895123
1808.789063	-60.605324
1894.921875	-60.224979
1981.054688	-57.296551
2067.187500	-54.490700
2153.320313	-57.204029
2239.453125	-64.378677
2325.585938	-65.564034
2411.718750	-61.941051
2497.851563	-59.660927
2583.984375	-58.890789
2670.117188	-58.519371
2756.250000	-58.775169
2842.382813	-61.587574
2928.515625	-63.245216
3014.648438	-61.085167
3100.781250	-58.388557
3186.914063	-56.209660
3273.046875	-54.219055
3359.179688	-54.300514
3445.312500	-53.089725
3531.445313	-57.361687
3617.578125	-62.621506
3703.710938	-68.603447
3789.843750	-63.793804
3875.976563	-62.784584
3962.109375	-61.264664
4048.242188	-57.320374
4134.375000	-57.410450
4220.507813	-56.736984
4306.640625	-59.388309
4392.773438	-64.136215
4478.906250	-61.929699
4565.039063	-61.017849
4651.171875	-60.577225
4737.304688	-60.708328
4823.437500	-61.269970
4909.570313	-61.915966
4995.703125	-65.084335
5081.835938	-55.950447
5167.968750	-51.742752
5254.101563	-50.637035
5340.234375	-52.381943
5426.367188	-53.474171
5512.500000	-54.498508
5598.632813	-54.038860
5684.765625	-50.835876
5770.898438	-45.719166
5857.031250	-37.986385
5943.164063	-33.872631
6029.296875	-38.618919
6115.429688	-46.149483
6201.562500	-50.774517
6287.695313	-53.916214
6373.828125	-56.053242
6459.960938	-57.804779
6546.093750	-58.711430
6632.226563	-60.719906
6718.359375	-62.946720
6804.492188	-65.454765
6890.625000	-69.749290
6976.757813	-73.667130
7062.890625	-69.754509
7149.023438	-66.125298
7235.156250	-65.076660
7321.289063	-64.733521
7407.421875	-65.911774
7493.554688	-66.895149
7579.687500	-67.038200
7665.820313	-68.749939
7751.953125	-74.143135
7838.085938	-75.089706
7924.218750	-74.161751
8010.351563	-76.454163
8096.484375	-78.071205
8182.617188	-79.177353
8268.750000	-76.184906
8354.882813	-74.033226
8441.015625	-73.839424
8527.148438	-73.882278
8613.281250	-75.662643
8699.414063	-78.274704
8785.546875	-80.857635
8871.679688	-81.052513
8957.812500	-82.628120
9043.945313	-81.635162
9130.078125	-82.869568
9216.210938	-80.029533
9302.343750	-75.538483
9388.476563	-75.413788
9474.609375	-77.072578
9560.742188	-78.029839
9646.875000	-80.214195
9733.007813	-81.677391
9819.140625	-81.352928
9905.273438	-81.099510
9991.406250	-80.046829
10077.539063	-80.642906
10163.671875	-81.443626
10249.804688	-82.263298
10335.937500	-83.455605
10422.070313	-84.258072
10508.203125	-76.109825
10594.335938	-71.672707
10680.468750	-71.171074
10766.601563	-72.624626
10852.734375	-73.870132
10938.867188	-74.844299
11025.000000	-75.747566
11111.132813	-75.749985
