Frequency (Hz)	Level (dB)
86.132813	-59.403042
172.265625	-59.784779
258.398438	-61.249100
344.531250	-63.805397
430.664063	-65.732239
516.796875	-66.290176
602.929688	-66.973724
689.062500	-68.948402
775.195313	-71.203629
861.328125	-73.780022
947.460938	-70.019524
1033.593750	-72.243462
1119.726563	-79.668655
1205.859375	-71.630394
1291.992188	-68.854652
1378.125000	-68.166046
1464.257813	-65.819664
1550.390625	-65.200150
1636.523438	-63.092834
1722.656250	-63.564014
1808.789063	-68.538162
1894.921875	-65.725426
1981.054688	-60.979801
2067.187500	-57.350628
2153.320313	-61.172024
2239.453125	-66.872375
2325.585938	-65.271156
2411.718750	-61.038776
2497.851563	-65.186905
2583.984375	-69.529892
2670.117188	-66.217346
2756.250000	-65.912552
2842.382813	-66.409058
2928.515625	-69.270943
3014.648438	-72.170731
3100.781250	-70.463127
3186.914063	-66.143074
3273.046875	-61.880085
3359.179688	-63.941208
3445.312500	-71.462502
3531.445313	-69.276230
3617.578125	-67.586372
3703.710938	-70.425552
3789.843750	-81.276230
3875.976563	-68.484940
3962.109375	-59.422459
4048.242188	-55.218403
4134.375000	-54.376583
4220.507813	-54.001755
4306.640625	-54.918499
4392.773438	-58.882774
4478.906250	-65.399902
4565.039063	-72.081345
4651.171875	-79.466316
4737.304688	-77.939049
4823.437500	-78.422424
4909.570313	-75.756653
4995.703125	-66.574455
5081.835938	-61.057697
5167.968750	-61.700020
5254.101563	-64.438133
5340.234375	-66.273132
5426.367188	-69.288887
5512.500000	-66.524933
5598.632813	-65.155960
5684.765625	-64.411591
5770.898438	-62.385124
5857.031250	-51.725201
5943.164063	-48.026646
6029.296875	-52.350559
6115.429688	-63.357780
6201.562500	-67.855408
6287.695313	-76.065445
6373.828125	-73.070221
6459.960938	-70.544273
6546.093750	-73.587593
6632.226563	-76.616096
6718.359375	-78.067513
6804.492188	-79.029648
6890.625000	-81.539711
6976.757813	-76.632996
7062.890625	-74.994072
7149.023438	-77.646866
7235.156250	-85.173874
7321.289063	-84.011551
7407.421875	-82.994873
7493.554688	-72.286896
7579.687500	-69.433228
7665.820313	-73.227707
7751.953125	-72.486923
7838.085938	-71.459000
7924.218750	-77.237091
8010.351563	-90.161736
8096.484375	-90.636559
8182.617188	-86.418343
8268.750000	-85.475761
8354.882813	-83.192108
8441.015625	-80.777000
8527.148438	-81.464493
8613.281250	-82.087349
8699.414063	-82.061310
8785.546875	-82.144325
8871.679688	-82.150826
8957.812500	-85.008713
9043.945313	-83.108536
9130.078125	-82.089951
9216.210938	-81.573219
9302.343750	-77.324181
9388.476563	-77.891495
9474.609375	-84.284164
9560.742188	-90.403648
9646.875000	-90.944839
9733.007813	-87.220337
9819.140625	-85.968224
9905.273438	-87.539063
9991.406250	-91.243202
10077.539063	-95.561455
10163.671875	-96.583275
10249.804688	-97.379837
10335.937500	-95.393532
10422.070313	-83.273430
10508.203125	-77.929337
10594.335938	-75.907730
10680.468750	-76.991837
10766.601563	-80.957794
10852.734375	-91.550873
10938.867188	-87.595642
11025.000000	-84.617668
11111.132813	-82.565605
11197.265625	-76.107140
11283.398438	-73.308975
11369.531250	-74.144569
11455.664063	-78.225533
11541.796875	-85.145538
11627.929688	-85.147308
11714.062500	-82.278015
11800.195313	-81.889557
11886.328125	-81.884827
11972.460938	-80.981201
12058.593750	-79.449974
12144.726563	-79.007202
12230.859375	-80.734138
12316.992188	-82.446365
12403.125000	-86.432190
