Frequency (Hz)	Level (dB)
86.132813	-50.222198
172.265625	-55.341393
258.398438	-55.966545
344.531250	-54.212402
430.664063	-53.640461
516.796875	-58.384819
602.929688	-59.435272
689.062500	-57.148308
775.195313	-51.606091
861.328125	-50.992096
947.460938	-49.307056
1033.593750	-51.006531
1119.726563	-53.284023
1205.859375	-49.267078
1291.992188	-45.833893
1378.125000	-44.346779
1464.257813	-42.271954
1550.390625	-42.390041
1636.523438	-44.200409
1722.656250	-48.980167
1808.789063	-51.163082
1894.921875	-51.868195
1981.054688	-42.383720
2067.187500	-39.288754
2153.320313	-44.755116
2239.453125	-51.070400
2325.585938	-57.555130
2411.718750	-58.188946
2497.851563	-58.956291
2583.984375	-63.422691
2670.117188	-62.478073
2756.250000	-58.689087
2842.382813	-62.330574
2928.515625	-69.700150
3014.648438	-69.292854
3100.781250	-69.336548
3186.914063	-67.540337
3273.046875	-63.907173
3359.179688	-59.299881
3445.312500	-56.338860
3531.445313	-57.568962
3617.578125	-59.773434
3703.710938	-62.534473
3789.843750	-64.421432
3875.976563	-63.860710
3962.109375	-61.450363
4048.242188	-59.510071
4134.375000	-64.541367
4220.507813	-62.102116
4306.640625	-54.010098
4392.773438	-51.152386
4478.906250	-50.330704
4565.039063	-51.461948
4651.171875	-54.562443
4737.304688	-56.601089
4823.437500	-57.315098
4909.570313	-58.259533
4995.703125	-58.895294
5081.835938	-58.592037
5167.968750	-57.369965
5254.101563	-56.808041
5340.234375	-58.200184
5426.367188	-59.351070
5512.500000	-61.187889
5598.632813	-65.679382
5684.765625	-66.075165
5770.898438	-67.118156
5857.031250	-64.005775
5943.164063	-61.785133
6029.296875	-66.563446
6115.429688	-73.838715
6201.562500	-78.315430
6287.695313	-77.472672
6373.828125	-76.040092
6459.960938	-77.791000
6546.093750	-84.037292
6632.226563	-87.280960
6718.359375	-85.635605
6804.492188	-78.189697
6890.625000	-72.232445
6976.757813	-68.970215
7062.890625	-69.119553
7149.023438	-70.664734
7235.156250	-67.640442
7321.289063	-65.677216
7407.421875	-67.097404
7493.554688	-72.731041
7579.687500	-79.761848
7665.820313	-75.412071
7751.953125	-75.948135
7838.085938	-72.790710
7924.218750	-69.174423
8010.351563	-68.012245
8096.484375	-66.124306
8182.617188	-62.070999
8268.750000	-58.704399
8354.882813	-57.632378
8441.015625	-59.574566
8527.148438	-63.928623
8613.281250	-69.443932
8699.414063	-69.674004
8785.546875	-68.308624
8871.679688	-69.308990
8957.812500	-70.990532
9043.945313	-72.278427
9130.078125	-74.693001
9216.210938	-79.016487
9302.343750	-78.786011
9388.476563	-76.499550
9474.609375	-75.741936
9560.742188	-76.630684
9646.875000	-78.769096
9733.007813	-81.316612
9819.140625	-83.337578
9905.273438	-83.030373
9991.406250	-82.905228
10077.539063	-85.553185
10163.671875	-90.557838
10249.804688	-99.462410
10335.937500	-90.640350
10422.070313	-84.378563
10508.203125	-80.742844
10594.335938	-78.966415
10680.468750	-79.238060
10766.601563	-82.595085
10852.734375	-90.350220
10938.867188	-104.680969
11025.000000	-95.173851
11111.132813	-93.868912
11197.265625	-96.703308
11283.398438	-92.357918
11369.531250	-87.369194
11455.664063	-85.281227
11541.796875	-83.064514
11627.929688	-79.717857
11714.062500	-76.307686
11800.195313	-73.497421
11886.328125	-72.741371
11972.460938	-74.825798
12058.593750	-78.750481
12144.726563	-81.620552
12230.859375	-85.405968
12316.992188	-89.692345
12403.125000	-87.602180
12489.257813	-85.924637
12575.390625	-84.146790
12661.523438	-81.301346
12747.656250	-79.637215
12833.789063	-80.801743
12919.921875	-84.839249
13006.054688	-85.390198
13092.187500	-81.419350
13178.320313	-79.979324
13264.453125	-81.687645
