Frequency (Hz)	Level (dB)
86.132813	-61.551342
172.265625	-58.938278
258.398438	-63.299686
344.531250	-65.579720
430.664063	-60.952644
516.796875	-61.813427
602.929688	-66.930412
689.062500	-68.585541
775.195313	-70.169777
861.328125	-71.146645
947.460938	-70.690193
1033.593750	-70.563400
1119.726563	-69.732407
1205.859375	-67.481339
1291.992188	-65.506714
1378.125000	-64.146553
1464.257813	-57.471935
1550.390625	-54.209091
1636.523438	-58.756035
1722.656250	-64.792007
1808.789063	-66.350403
1894.921875	-67.941162
1981.054688	-58.634613
2067.187500	-52.242737
2153.320313	-54.546837
2239.453125	-65.946228
2325.585938	-69.315544
2411.718750	-65.513229
2497.851563	-64.117462
2583.984375	-67.968239
2670.117188	-69.481369
2756.250000	-70.747726
2842.382813	-71.149170
2928.515625	-70.354195
3014.648438	-68.280205
3100.781250	-69.696861
3186.914063	-69.309418
3273.046875	-66.056076
3359.179688	-61.202438
3445.312500	-58.367874
3531.445313	-63.658146
3617.578125	-67.578239
3703.710938	-71.702400
3789.843750	-69.484169
3875.976563	-64.680481
3962.109375	-61.541851
4048.242188	-55.716103
4134.375000	-54.943966
4220.507813	-61.948421
4306.640625	-72.440468
4392.773438	-72.366486
4478.906250	-63.660011
4565.039063	-60.059052
4651.171875	-63.384857
4737.304688	-68.949066
4823.437500	-70.334213
4909.570313	-69.779793
4995.703125	-67.650780
5081.835938	-63.711098
5167.968750	-60.533298
5254.101563	-61.386345
5340.234375	-59.045712
5426.367188	-60.376884
5512.500000	-64.195045
5598.632813	-63.691032
5684.765625	-61.246758
5770.898438	-58.224598
5857.031250	-56.233364
5943.164063	-55.924992
6029.296875	-55.660671
6115.429688	-59.751389
6201.562500	-64.084885
6287.695313	-69.253571
6373.828125	-71.639992
6459.960938	-71.186829
6546.093750	-69.982162
6632.226563	-70.097977
6718.359375	-71.532906
6804.492188	-73.072899
6890.625000	-73.745697
6976.757813	-74.801819
7062.890625	-77.153938
7149.023438	-79.715454
7235.156250	-80.323326
7321.289063	-82.197495
7407.421875	-85.551559
7493.554688	-80.933014
7579.687500	-72.916687
7665.820313	-71.010750
7751.953125	-73.488892
7838.085938	-77.397675
7924.218750	-79.845360
8010.351563	-79.372246
8096.484375	-78.162811
8182.617188	-80.046013
8268.750000	-86.535782
8354.882813	-90.235748
8441.015625	-89.897934
8527.148438	-86.986649
8613.281250	-84.740898
8699.414063	-82.195923
8785.546875	-81.791122
8871.679688	-81.052155
8957.812500	-81.128105
9043.945313	-83.704041
9130.078125	-82.703011
9216.210938	-81.531708
9302.343750	-81.727722
9388.476563	-83.733818
9474.609375	-82.513702
9560.742188	-78.445564
9646.875000	-77.149460
9733.007813	-79.480438
9819.140625	-81.390610
9905.273438	-82.311584
9991.406250	-82.732841
10077.539063	-83.201523
10163.671875	-82.802246
10249.804688	-83.600464
10335.937500	-89.205276
10422.070313	-86.455574
10508.203125	-80.641708
10594.335938	-76.132996
10680.468750	-75.720833
10766.601563	-77.952293
10852.734375	-78.748772
10938.867188	-80.416420
11025.000000	-82.706787
