Frequency (Hz)	Level (dB)
86.132813	-53.775093
172.265625	-54.554237
258.398438	-58.784431
344.531250	-61.051552
430.664063	-59.144604
516.796875	-59.355785
602.929688	-61.159000
689.062500	-61.856449
775.195313	-57.403240
861.328125	-59.463379
947.460938	-72.207016
1033.593750	-70.446594
1119.726563	-65.555008
1205.859375	-62.920120
1291.992188	-65.231689
1378.125000	-64.356949
1464.257813	-56.358807
1550.390625	-52.080967
1636.523438	-55.515160
1722.656250	-60.002739
1808.789063	-58.602032
1894.921875	-61.522644
1981.054688	-51.773537
2067.187500	-46.108036
2153.320313	-49.498524
2239.453125	-61.063221
2325.585938	-69.170158
2411.718750	-65.207336
2497.851563	-66.054962
2583.984375	-63.996429
2670.117188	-64.744415
2756.250000	-66.576843
2842.382813	-69.127014
2928.515625	-69.420326
3014.648438	-66.281609
3100.781250	-64.445267
3186.914063	-61.534428
3273.046875	-59.996605
3359.179688	-56.775600
3445.312500	-51.974083
3531.445313	-55.453499
3617.578125	-63.795551
3703.710938	-72.256523
3789.843750	-68.549599
3875.976563	-63.556313
3962.109375	-62.356998
4048.242188	-60.744610
4134.375000	-59.652706
4220.507813	-62.908043
4306.640625	-67.052185
4392.773438	-67.391586
4478.906250	-65.709015
4565.039063	-64.165482
4651.171875	-62.471760
4737.304688	-67.811546
4823.437500	-70.127434
4909.570313	-70.003487
4995.703125	-65.346291
5081.835938	-61.686424
5167.968750	-60.238945
5254.101563	-57.733994
5340.234375	-51.788960
5426.367188	-53.903641
5512.500000	-60.453762
5598.632813	-60.901520
5684.765625	-64.152573
5770.898438	-63.461914
5857.031250	-57.431595
5943.164063	-54.578285
6029.296875	-55.697060
6115.429688	-60.846973
6201.562500	-64.287552
6287.695313	-62.765469
6373.828125	-66.624542
6459.960938	-78.441856
6546.093750	-67.531502
6632.226563	-64.930687
6718.359375	-69.558952
6804.492188	-69.530159
6890.625000	-72.412514
6976.757813	-76.311554
7062.890625	-81.332062
7149.023438	-85.915497
7235.156250	-86.104141
7321.289063	-83.642296
7407.421875	-83.202087
7493.554688	-76.574898
7579.687500	-73.030380
7665.820313	-73.624382
7751.953125	-72.959808
7838.085938	-71.861130
7924.218750	-73.193100
8010.351563	-68.498573
8096.484375	-68.067619
8182.617188	-72.397575
8268.750000	-76.954544
8354.882813	-77.252365
8441.015625	-78.584602
8527.148438	-79.787437
8613.281250	-73.365547
