Frequency (Hz)	Level (dB)
86.132813	-50.646103
172.265625	-53.490372
258.398438	-56.921093
344.531250	-58.503819
430.664063	-57.568230
516.796875	-58.566952
602.929688	-60.567627
689.062500	-61.691563
775.195313	-60.798973
861.328125	-62.503567
947.460938	-68.737068
1033.593750	-71.282326
1119.726563	-70.300476
1205.859375	-62.249046
1291.992188	-60.278183
1378.125000	-61.586132
1464.257813	-64.953857
1550.390625	-60.354481
1636.523438	-59.353611
1722.656250	-62.997490
1808.789063	-65.536186
1894.921875	-66.030846
1981.054688	-61.739536
2067.187500	-58.357136
2153.320313	-57.988224
2239.453125	-58.439224
2325.585938	-63.999737
2411.718750	-66.841293
2497.851563	-64.680367
2583.984375	-63.961983
2670.117188	-63.625225
2756.250000	-63.972588
2842.382813	-66.320969
2928.515625	-70.771637
3014.648438	-69.418732
3100.781250	-68.976059
3186.914063	-66.629288
3273.046875	-65.375359
3359.179688	-65.446922
3445.312500	-69.205917
3531.445313	-69.826408
3617.578125	-65.934036
3703.710938	-66.736702
3789.843750	-71.788200
3875.976563	-75.148788
3962.109375	-72.931747
4048.242188	-60.708775
4134.375000	-55.489033
4220.507813	-57.134079
4306.640625	-59.169933
4392.773438	-62.278160
4478.906250	-61.130474
4565.039063	-60.655731
4651.171875	-65.398758
4737.304688	-72.068268
4823.437500	-73.713516
4909.570313	-74.265007
4995.703125	-72.783630
5081.835938	-71.498817
5167.968750	-61.646290
5254.101563	-55.760876
5340.234375	-56.974888
5426.367188	-61.348358
5512.500000	-62.039158
5598.632813	-64.399353
5684.765625	-67.076958
5770.898438	-61.716873
5857.031250	-55.888577
5943.164063	-53.272583
6029.296875	-54.533806
6115.429688	-61.240395
6201.562500	-67.621361
6287.695313	-70.084564
6373.828125	-69.778290
6459.960938	-70.410538
6546.093750	-71.645439
6632.226563	-72.761971
6718.359375	-76.773796
6804.492188	-77.265007
6890.625000	-77.621826
6976.757813	-77.838364
7062.890625	-73.901207
7149.023438	-75.590256
7235.156250	-75.493164
7321.289063	-74.257538
7407.421875	-71.920113
7493.554688	-67.858429
7579.687500	-66.127907
7665.820313	-69.767578
7751.953125	-70.760979
7838.085938	-70.788116
7924.218750	-73.884743
8010.351563	-73.189178
8096.484375	-73.959373
8182.617188	-73.389893
8268.750000	-70.564217
8354.882813	-66.646271
8441.015625	-66.870010
8527.148438	-68.719170
8613.281250	-70.438545
8699.414063	-72.667450
8785.546875	-73.901314
8871.679688	-69.203911
8957.812500	-68.581863
9043.945313	-70.262054
9130.078125	-74.132622
9216.210938	-81.367004
9302.343750	-80.977989
9388.476563	-80.198730
9474.609375	-84.532013
9560.742188	-88.310570
9646.875000	-85.439186
9733.007813	-80.627022
9819.140625	-77.610870
9905.273438	-75.483276
9991.406250	-74.112885
10077.539063	-75.564484
10163.671875	-78.499947
10249.804688	-78.493454
10335.937500	-73.361107
10422.070313	-69.316544
10508.203125	-67.865578
10594.335938	-66.590088
10680.468750	-68.326103
10766.601563	-71.346573
10852.734375	-70.688538
10938.867188	-68.870621
11025.000000	-70.444061
11111.132813	-73.014702
11197.265625	-75.737823
11283.398438	-80.739105
11369.531250	-85.142647
11455.664063	-80.794884
11541.796875	-77.960526
11627.929688	-75.831009
11714.062500	-75.129417
11800.195313	-74.837524
11886.328125	-75.528130
11972.460938	-75.729362
12058.593750	-76.770454
12144.726563	-78.882103
12230.859375	-81.309135
12316.992188	-79.748520
12403.125000	-74.687515
12489.257813	-71.950409
12575.390625	-71.783569
12661.523438	-73.194389
12747.656250	-75.956001
12833.789063	-78.711670
12919.921875	-80.875595
13006.054688	-84.967896
13092.187500	-85.863235
13178.320313	-82.382538
13264.453125	-80.622383
13350.585938	-80.882790
13436.718750	-83.617020
13522.851563	-85.627960
13608.984375	-83.346756
13695.117188	-80.268684
13781.250000	-78.235107
13867.382813	-78.119843
13953.515625	-79.750519
14039.648438	-81.934502
14125.781250	-82.263130
14211.914063	-82.567352
14298.046875	-85.022453
14384.179688	-84.336334
14470.312500	-81.928223
14556.445313	-81.881088
14642.578125	-83.097214
14728.710938	-83.799088
14814.843750	-82.986519
14900.976563	-83.055237
14987.109375	-84.765907
15073.242188	-85.860863
15159.375000	-85.873436
15245.507813	-86.238312
15331.640625	-85.512222
15417.773438	-81.931335
15503.906250	-78.291245
15590.039063	-76.146416
15676.171875	-75.657021
15762.304688	-76.035561
15848.437500	-76.841537
15934.570313	-77.957771
16020.703125	-78.848801
16106.835938	-80.259842
16192.968750	-82.892532
16279.101563	-86.508438
16365.234375	-87.571182
16451.367188	-86.222755
16537.500000	-86.179375
16623.632813	-88.447502
16709.765625	-91.729507
16795.898438	-92.613625
16882.031250	-92.394714
16968.164063	-91.841324
17054.296875	-92.043350
17140.429688	-94.607460
17226.562500	-100.647621
17312.695313	-100.578896
17398.828125	-95.777267
17484.960938	-95.087379
17571.093750	-94.487289
17657.226563	-94.117325
17743.359375	-94.403831
17829.492188	-96.645767
17915.625000	-93.692329
18001.757813	-90.088547
18087.890625	-87.489098
18174.023438	-84.993942
18260.156250	-82.895607
18346.289063	-81.828720
18432.421875	-82.346237
18518.554688	-83.719261
18604.687500	-85.827637
18690.820313	-88.098572
18776.953125	-90.349663
18863.085938	-91.962326
18949.218750	-93.009956
19035.351563	-93.491463
19121.484375	-94.941322
19207.617188	-96.526825
19293.750000	-96.831192
19379.882813	-97.361198
19466.015625	-96.367500
19552.148438	-95.368721
19638.281250	-96.298027
19724.414063	-98.676224
19810.546875	-100.608704
19896.679688	-105.041733
19982.812500	-103.571724
20068.945313	-98.856766
20155.078125	-97.821915
20241.210938	-99.389641
20327.343750	-101.110519
20413.476563	-102.780121
20499.609375	-105.173584
20585.742188	-109.299736
20671.875000	-113.151764
20758.007813	-110.201790
20844.140625	-108.390282
20930.273438	-109.244240
21016.406250	-110.722862
21102.539063	-111.222939
21188.671875	-110.486862
21274.804688	-112.103371
21360.937500	-114.138115
21447.070313	-114.959175
21533.203125	-117.249901
21619.335938	-120.250549
21705.468750	-122.877037
21791.601563	-125.639999
21877.734375	-127.130470
21963.867188	-129.582306
