Frequency (Hz)	Level (dB)
86.132813	-60.050999
172.265625	-57.474377
258.398438	-60.029896
344.531250	-61.614559
430.664063	-59.005890
516.796875	-61.810734
602.929688	-69.778404
689.062500	-70.344017
775.195313	-70.310066
861.328125	-71.388565
947.460938	-65.087479
1033.593750	-66.192482
1119.726563	-68.686752
1205.859375	-67.365982
1291.992188	-67.798424
1378.125000	-67.756523
1464.257813	-66.201813
1550.390625	-66.597221
1636.523438	-73.227020
1722.656250	-74.782021
1808.789063	-71.751427
1894.921875	-71.601051
1981.054688	-57.272049
2067.187500	-51.485165
2153.320313	-55.181702
2239.453125	-65.328468
2325.585938	-71.113281
2411.718750	-74.112358
2497.851563	-73.703270
2583.984375	-73.641006
2670.117188	-73.464523
2756.250000	-71.573608
2842.382813	-70.687508
2928.515625	-77.018730
3014.648438	-81.166527
3100.781250	-84.476433
3186.914063	-87.002007
3273.046875	-77.645348
3359.179688	-69.554291
3445.312500	-64.821732
3531.445313	-66.704193
3617.578125	-71.046310
3703.710938	-75.661987
3789.843750	-77.945107
3875.976563	-73.399231
3962.109375	-71.362762
4048.242188	-70.149765
4134.375000	-71.462883
4220.507813	-71.047348
4306.640625	-71.817589
4392.773438	-72.482559
4478.906250	-74.934448
4565.039063	-71.965271
4651.171875	-72.646584
4737.304688	-74.569572
4823.437500	-75.627411
4909.570313	-75.618301
4995.703125	-74.260223
5081.835938	-70.128540
5167.968750	-68.229652
5254.101563	-70.348137
5340.234375	-66.243385
5426.367188	-66.168724
5512.500000	-70.648857
5598.632813	-72.147827
5684.765625	-71.010765
5770.898438	-68.519547
5857.031250	-67.216713
5943.164063	-67.987572
6029.296875	-70.142494
6115.429688	-74.778221
6201.562500	-81.319054
6287.695313	-80.403740
6373.828125	-77.766479
6459.960938	-78.504005
6546.093750	-79.219254
6632.226563	-83.372803
6718.359375	-86.938271
6804.492188	-88.836311
6890.625000	-90.608452
6976.757813	-89.997383
7062.890625	-85.993301
7149.023438	-85.340561
7235.156250	-87.619614
7321.289063	-89.022728
7407.421875	-86.618820
7493.554688	-79.993546
7579.687500	-73.623688
7665.820313	-74.362274
7751.953125	-79.929878
7838.085938	-85.647034
7924.218750	-89.591064
8010.351563	-90.424805
8096.484375	-89.970215
8182.617188	-88.740585
8268.750000	-87.411613
8354.882813	-86.845436
8441.015625	-86.793732
8527.148438	-83.326790
8613.281250	-82.897980
8699.414063	-86.415329
8785.546875	-86.512383
8871.679688	-89.020973
8957.812500	-92.872803
9043.945313	-99.199188
9130.078125	-100.438553
9216.210938	-99.116371
9302.343750	-101.438347
9388.476563	-102.170471
9474.609375	-101.084145
9560.742188	-99.633049
9646.875000	-102.718498
9733.007813	-100.033257
9819.140625	-96.914604
9905.273438	-97.855171
9991.406250	-99.091812
10077.539063	-100.911133
10163.671875	-102.545479
10249.804688	-106.433197
10335.937500	-105.812599
10422.070313	-99.206963
10508.203125	-94.821991
10594.335938	-93.219063
10680.468750	-93.616600
10766.601563	-93.432991
10852.734375	-93.609177
10938.867188	-97.060608
11025.000000	-100.500870
11111.132813	-102.296288
11197.265625	-99.199829
11283.398438	-97.317902
11369.531250	-96.097137
11455.664063	-94.949379
11541.796875	-90.445869
11627.929688	-87.280602
11714.062500	-87.873573
11800.195313	-88.260468
11886.328125	-88.438141
11972.460938	-86.849739
12058.593750	-84.178902
12144.726563	-82.738411
12230.859375	-84.214882
12316.992188	-86.884735
12403.125000	-90.338966
12489.257813	-95.807678
12575.390625	-101.458649
12661.523438	-106.029999
12747.656250	-104.191956
12833.789063	-101.545982
12919.921875	-99.693611
13006.054688	-97.308846
13092.187500	-96.208359
13178.320313	-96.722496
13264.453125	-98.552048
13350.585938	-98.595978
13436.718750	-97.751152
13522.851563	-98.127281
13608.984375	-100.746223
13695.117188	-100.110390
13781.250000	-98.083122
13867.382813	-100.127457
13953.515625	-104.164925
14039.648438	-103.827385
14125.781250	-103.602005
14211.914063	-104.428459
14298.046875	-108.216919
14384.179688	-112.621063
14470.312500	-112.692421
14556.445313	-112.618011
14642.578125	-106.363892
14728.710938	-102.537743
14814.843750	-104.635872
14900.976563	-107.866119
14987.109375	-107.538849
15073.242188	-104.850433
15159.375000	-102.969688
15245.507813	-101.851624
15331.640625	-102.744011
15417.773438	-104.462578
15503.906250	-104.112854
15590.039063	-100.190369
15676.171875	-98.624832
15762.304688	-97.716904
15848.437500	-98.838127
15934.570313	-102.098236
16020.703125	-105.406334
16106.835938	-110.111435
16192.968750	-115.845634
16279.101563	-118.875511
16365.234375	-116.236595
16451.367188	-116.531738
16537.500000	-117.830841
16623.632813	-119.918465
16709.765625	-123.325706
16795.898438	-123.333771
16882.031250	-122.653160
16968.164063	-120.562355
17054.296875	-119.084564
17140.429688	-119.786774
17226.562500	-120.572685
17312.695313	-122.347641
17398.828125	-121.938202
17484.960938	-121.328331
17571.093750	-119.861038
17657.226563	-122.742081
17743.359375	-125.470062
17829.492188	-124.596321
17915.625000	-124.336090
18001.757813	-124.375084
18087.890625	-124.254349
18174.023438	-122.798454
18260.156250	-122.226845
18346.289063	-121.977737
18432.421875	-122.422554
18518.554688	-124.181808
18604.687500	-126.194298
18690.820313	-122.756828
18776.953125	-123.004280
18863.085938	-126.087288
18949.218750	-127.070381
19035.351563	-127.705803
19121.484375	-126.808212
19207.617188	-127.510811
19293.750000	-129.430252
19379.882813	-129.062790
19466.015625	-129.473938
19552.148438	-128.121597
19638.281250	-128.754364
19724.414063	-131.225037
19810.546875	-132.070068
19896.679688	-130.758530
19982.812500	-129.953720
20068.945313	-129.899734
20155.078125	-132.133484
20241.210938	-133.367950
20327.343750	-134.583878
20413.476563	-137.138290
20499.609375	-137.444290
20585.742188	-136.677719
20671.875000	-137.083893
20758.007813	-138.703308
20844.140625	-140.853897
20930.273438	-143.179535
21016.406250	-142.954010
21102.539063	-144.020187
21188.671875	-145.724060
21274.804688	-147.540771
21360.937500	-149.465408
21447.070313	-149.886108
21533.203125	-151.123993
21619.335938	-152.656387
21705.468750	-154.428085
21791.601563	-155.838379
21877.734375	-156.057632
21963.867188	-158.636856
